,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
ETH,229800,228400,227100,225700,224100,220300,215800,211900,208200,205000,201900,198300,193900,188400,182600,176400,170100,163600,157400,150900,144700,138600,131500,124600,118200,112400,106600,100900,95800,90300,85800,81500,77000,77000,77000,77000,77000,77000
FIN,9300,8700,8300,8000,7700,7500,7400,7300,7200,7100,6900,6700,6400,6000,5700,5400,5200,4900,4700,4500,4400,4300,4200,4100,3900,3800,3700,3600,3500,3300,3200,3000,2900,2900,2900,2900,2900,2900
FJI,39900,38800,37700,36700,35800,34800,33900,33000,32100,31300,30400,29600,28800,28000,27200,26400,25800,25000,24300,23700,23000,22300,21800,21300,20700,20100,19600,18900,18400,17900,17400,17100,16400,16400,16400,16400,16400,16400
FRA,12900,12400,11900,11500,11100,10800,10400,10100,9800,9500,9200,8800,8400,8000,7500,7000,6600,6200,6000,5700,5500,5400,5200,5100,4900,4800,4600,4500,4400,4400,4300,4200,4100,4100,4100,4100,4100,4100
FSM,176,63600,62700,61900,61300,60300,59900,59300,58500,57900,57200,56400,55500,54800,53900,53200,52400,51500,50800,50100,49300,48600,48000,47300,46600,46000,45300,44800,44000,43500,42700,42000,41500,41500,41500,41500,41500,41500
GAB,117400,114900,112600,110200,107900,105700,103500,101400,99500,97800,96100,94400,92800,91300,89900,88600,87400,86200,85200,84200,83300,82400,81600,80400,79300,77900,76500,75000,73200,71100,69200,67400,65600,65600,65600,65600,65600,65600
GBR,14900,14100,13500,12800,12300,11800,11400,11100,10700,10200,9800,9200,8800,8300,7900,7600,7300,7100,7000,6800,6700,6600,6500,6300,6200,6100,6000,5800,5700,5600,5400,5300,5100,5100,5100,5100,5100,5100
GEO,0,0,0,0,0,0,5183,4950,51500,49800,48400,46900,45500,44000,42800,41400,40000,38800,37200,35700,34200,32600,31300,30100,28700,27500,26400,25400,24300,23400,22300,21500,20500,20500,20500,20500,20500,20500
GHA,158700,155100,153400,151900,150500,148300,144900,140700,135200,129800,124800,120900,117900,114800,112700,111100,109200,107500,105500,103300,101100,98700,96800,94600,92400,90800,88400,86500,84600,83000,81000,79600,77600,77600,77600,77600,77600,77600
GIN,281500,276400,271900,267100,262700,257600,252500,247400,242800,237700,232900,228200,223300,218500,213300,207400,201600,196000,190400,184500,179000,174500,169000,164000,159600,154400,150100,145300,141600,137400,133300,129800,125800,125800,125800,125800,125800,125800
GMB,221800,215100,208400,202900,196700,191200,186300,181400,177100,172300,168400,164600,161000,157500,153600,150300,146700,143300,139900,136700,133500,130300,127500,124300,121600,118800,116100,113200,110500,108300,105600,102600,100600,100600,100600,100600,100600,100600
GNB,234500,232800,231400,228600,227400,224800,223100,221200,218100,215300,213700,210400,207600,206300,202500,200500,198900,196400,193200,191100,188200,185800,183600,180600,178100,175700,172800,172200,169300,166400,164500,161700,160600,160600,160600,160600,160600,160600
GNQ,1713,230900,228100,223900,217900,213600,210100,206000,201400,197500,193500,189600,186300,182500,178500,174400,170300,167000,162900,159900,155500,152200,149100,145500,142700,139000,136400,132500,130600,127100,123800,122000,118100,118100,118100,118100,118100,118100
GRC,24900,23400,22000,20800,19500,18400,17300,16300,15300,14300,13500,12700,12100,11500,11000,10500,10100,9700,9200,8700,8200,7700,7200,6800,6300,5900,5500,5300,5100,4900,4700,4600,4400,4400,4400,4400,4400,4400
GRD,0,0,0,0,83,82,24800,23900,23100,22400,21700,21000,20300,19700,19100,18600,18100,17600,16900,16500,16100,15700,15500,15100,14900,14700,14300,14000,13800,13500,13300,13100,12800,12800,12800,12800,12800,12800
GTM,135500,130500,125400,120100,114400,108800,102700,97400,92200,87300,82500,78000,73600,69600,65900,62600,59600,57000,54600,52400,50300,48200,46200,44400,42500,40700,39200,37600,36100,34400,33100,31600,30400,30400,30400,30400,30400,30400
GUY,68800,68600,67900,67400,67200,66600,66300,66000,65600,65100,64200,63000,61500,60300,59000,57300,56000,54400,53100,51700,50400,49100,47900,46600,45300,43900,42700,40900,40300,39100,38300,37000,35900,35900,35900,35900,35900,35900
HND,100100,95000,90300,85800,81400,77000,72800,68500,64700,61100,57800,55000,52500,50500,48400,46400,44400,42400,40300,38500,36900,35000,33500,32100,30700,29300,27900,26700,25600,24300,23300,22200,21400,21400,21400,21400,21400,21400
HRV,1555,25300,23700,22200,20800,19400,18100,16900,15800,14700,13700,12900,12100,11500,10900,10500,10100,9600,9300,9000,8700,8400,8000,7700,7400,7100,6800,6400,6100,5900,5600,5300,5100,5100,5100,5100,5100,5100
HTI,193700,188500,183800,178900,174500,169800,165300,160600,156000,151700,147600,143000,138300,133900,129400,125100,120900,117000,112800,109100,105500,102000,98500,95300,92100,88900,85800,83000,80000,77500,74800,160700,70000,70000,70000,70000,70000,70000
HUN,28500,26900,25800,25100,24400,23600,22900,22200,21500,20700,19700,18700,17700,16800,15900,15000,14100,13400,12700,12100,11500,11000,10400,9800,9300,8800,8400,7900,7600,7200,6900,6600,6300,6300,6300,6300,6300,6300
