"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"CHL",130540,188760,135040,95700,342020,251260,52460,901580,260160,39160,41960,20,20,0,0,0,1160,120,620,0,0,0,20,0,0,0,0,0,20,0,120,0,0,4060,180,0,0
"CHN",25688205.4084488,23172257.8831043,20107967.2240856,21634790.3486036,11831136.0634238,9736118.51292703,6896506.51713268,5755524.88271163,5218168.32545415,5013079.41523477,5924470.1917122,6581055.62540384,6293376.44849394,5414469.95470529,4614912.74616809,4609223.66537133,4808992.69122486,4276667.99599357,4296675.75085042,4471947.67656539,4526656.6714736,3786592.2858297,3851950.99710801,3829915.782825,4142842.12213452,3623169.55483867,3788609.63929305,4424739.43954549,3229446.99712333,1997926.34813056,1988931.59675744,1895247.56704432,2203691.64856982,4152666.54204103,2512334.01325895,2051525.06595462,1645387.39581069
"CIV",433148.216736714,374686.924250083,221613.909578599,185294.54772188,241821.732015466,606673.548614525,784245.633522361,406405.508534389,439180.053771042,421249.599163286,265299.993662352,365562.815593161,220851.696532249,460129.361822107,808365.937600835,480233.426171961,266095.516197176,310019.105508857,174993.870309527,178378.646960187,179277.035109428,181068.330348129,160237.558253509,133413.119371403,75281.1483451554,65405.6165516716,75660.4896633209,68266.847331951,72404.5781625499,79339.8555361403,78813.3013110939,69282.8956854829,69917.3720423968,79293.8633796711,58500.301834724,70816.7481498171,70331.0921919119
"CMR",NA,568043.294410737,762476.142761348,486684.863523221,605900.350656632,410548.698103148,243397.128899993,312892.154916636,324188.097388704,286674.088079573,216173.389164047,366747.712640203,192839.808942401,94535.1972487261,82335.4021791027,181460.504612341,139290.476325121,168109.081555053,171736.362934522,211988.218087666,322197.371201354,67516.7419234528,61872.7047978068,50458.2640314441,53375.6024566434,49989.4270173187,48419.242839734,54877.5351314358,49532.1913192968,50540.1143631826,53080.9641195927,53371.0026552241,54017.7716399496,72519.2545899827,66464.6172396376,49354.8340010245,54937.3444178981
"COD",149756.357238786,287418.581613209,423663.18834349,558133.176058526,683717.608923993,805334.270850875,919236.921604947,1023303.29343811,1120928.64145766,1209564.35330197,1310765.74292433,1388163.76221254,1450551.16934477,1508702.00047452,1577705.84937654,1658008.7968544,1736705.2777024,1818805.7274144,1897391.98117614,1919048.89956336,1948865.80574779,1979498.61655062,1280511.11322753,1341013.95359952,695625.292520244,445910.178427429,297362.992982395,227876.719790142,228611.083477341,234739.270857785,302373.847207999,371640.97477039,340199.210285085,75643.3763094952,43570.9355470064,73021.2303855113,38840.8331481113
"COG",149722.171047191,204941.058678927,230376.919538534,248372.183221298,130705.78011994,116158.326151405,69219.9823297136,57935.7852861343,58279.5512113811,92805.4121755721,95108.1412063864,95042.4323628986,61566.8641895175,55707.3508034922,75189.7626838683,90842.2408615176,66849.1708821397,56648.4615924958,56446.1099501563,67611.0445030335,72523.3327856277,78364.4520561572,86678.7721859731,84992.6913815605,34555.5278193081,51924.9929198598,55034.7828185439,28128.7964763308,48283.1439392046,55658.7478895134,35022.5282827498,43469.2749756494,54629.4930288148,29633.2179984161,52722.9432512497,54479.1056302389,29036.4324463941
"COK",1943.26833009526,3300.80949566297,3867.16939492449,4260.32325993885,4521.91275261503,4746.44473399578,4894.35492358442,5020.15337110211,5908.80812378317,4976.04543704376,4547.84695507704,4390.09131479774,4339.45296431448,4407.33055772608,4461.2398846848,4596.59106266459,4719.3858343986,4820.42295113365,1341.66757856627,2497.81227632073,3525.05270046227,4392.4581090652,5134.53533530648,5796.75107441835,6401.59306035002,6960.9565686115,1440.80574459295,2454.93470516857,3421.12752712829,4282.42085174884,5091.59317262486,5872.34256287098,6611.80607276964,7312.63509228256,7976.39685124362,8608.75897206849,9202.85338611848
"COL",392240,185460,261980,236980,111440,103600,412400,296020,251960,250400,207820,159520,182100,10500,8200,3200,1340,1220,880,20,60,2780,0,0,0,0,0,0,0,0,120,20,20,50320,20,0,0
"COM",0,0,0,0,0,0,0,0,3400,46560,0,0,0,40,0,0,0,0,0,NA,NA,0,0,0,18240,1700,0,0,20,0,60,20,0,0,0,0,0
"CPV",5466.75918233662,28027.1988112854,30536.8604939609,3741.48100286602,5730.86335309249,19207.9940314517,11063.9275620268,2386.67591739947,1910.26053138722,1870.38908885885,2005.93451970558,1858.0168462238,1753.91755092277,2279.87597468109,1976.1450286352,1796.43592607853,23018.5580366597,7604.30536187255,2246.65466701073,1861.54967023378,1734.48062638842,1701.41521136458,1688.26256654672,1682.90726084118,1682.3370491303,2178.89647271341,1810.10442282164,1753.06716836491,1745.71789542262,2321.9289344097,2805.15109872479,3205.95704043805,3439.31689962407,4188.9159700558,4689.9437432796,7991.40688588226,4646.03902610968
"CRI",3400,3340,780,220,20,90680,80080,7160,660,1520,125920,47220,5460,0,700,480,520,540,460,0,0,0,20,0,20,NA,0,0,0,0,0,0,0,760,0,0,0
"CUB",367740,468160,65740,66300,57480,66240,17160,2420,240,240,340,240,40,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22300,0,0,0
