"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37"
"CYP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DEU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DJI",NA,2.9612405102816e-07,2.89721590025831e-07,837.67381843196,0.102068054243691,2.52489769971596e-07,2.33766437183752e-07,77.8351061389861,120.738577107587,0.808768177727695,1.60533738925363e-07,0.100324883731549,1.53552793020614e-07,1.74634804354963e-07,1.71934173357699e-07,65.3195544442741,1.65824833103506e-07,33.4254413040366,73.7490707759695,21.4632493310986,1.06347453087004,1.53188057843427e-07,1.50918102906461e-07,1.49190371442154e-07,1.46832091903275e-07,1.25344631715045e-07,1.23777941006147e-07,1.21645954852304e-07,1.19821891728871e-07,1.18258477643331e-07,1.16469400487373e-07,66.1533241796391,1.12933732071036e-07,1.08148569421413e-07,1.0620324290508e-07,1.04550405492911e-07,1.03021394464256e-07
"DMA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DNK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DOM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DZA",903.652654554537,4529.11866360101,5145.98188009934,5363.05258557785,3074.12587130875,852.081311569539,170.300505708698,6.10961913714986,1.55995706356562e-09,1.52238128970191e-09,1.48535203450271e-09,1.45031337978959e-09,1.41835452315462e-09,1.17063030696043e-09,1.1431686276388e-09,140.502722061937,1.10243059980827e-09,1.08511774243933e-09,1.07322133936255e-09,1.06065654441465e-09,1.24525521365152e-09,1.22550881280285e-09,1.21077608516378e-09,1.19547663382323e-09,1.17452974728312e-09,1.16047842567983e-09,1.14032406793209e-09,9.33054302669459e-10,9.19249615103875e-10,9.04971759901638e-10,8.87622530486536e-10,8.71629648189263e-10,8.53757740384258e-10,8.58894511487882e-10,8.38843198735887e-10,8.23754195187838e-10,8.09878508041387e-10
"ECU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EGY",1438.82205685368,5344.56346148325,1074.96002531273,4139.01512155589,4827.09886090905,1017.64714436502,1152.19413217609,2516.60751483845,2814.05362657578,654.496543146072,700.278654530336,2745.8345985341,1581.59444403853,763.707950598513,923.675543571922,2714.54282965949,2765.17677961906,3014.05853417709,767.156452406615,1444.74035955139,1095.85268250607,302.343730646835,1.44391824874738e-09,1.42664567229299e-09,1.40071334701198e-09,281.472612815096,782.367299295722,299.6726579268,193.584263999907,1.28761283729129e-09,1.26515159192664e-09,1.24794411569665e-09,43.6720679694951,1624.761807609,3529.63350866414,328.874153264241,42.779064451048
