"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"34",332139.114729735,313789.368363401,173503.907445131,132466.697821319,178173.421149001,516934.9768144,706659.317464892,351582.738010064,372301.986583493,354941.720188935,211243.383296776,294671.530431295,169998.828340922,198185.243322983,705179.246874122,420796.6897324,214638.451414667,244384.227049532,128186.006820947,121118.954212147,120603.860387118,122150.045176128,105361.816323733,76049.3392839794,32722.4837476177,2087.80026963793,8231.75033862364,13429.1270684466,6579.98577881145,15902.6975897824,27645.0342149431,7403.63278342886,12680.6531185873,22088.2179245146,3410.24890347903,11561.8392363538,18811.2312767226
"35",NA,487799.276656396,707686.734464452,443815.573028799,554163.826154069,368395.43939931,207164.150174043,266233.447960033,278874.238962565,244473.85498034,178831.806209576,317035.210702489,160984.196837534,68068.0947627692,51809.6248397127,134315.749437198,105640.908525197,128695.314597764,134031.614973029,170437.000791465,274440.512348396,8363.46798060615,5496.0357734626,13116.0587797567,18776.7332366995,18010.6804487307,10001.4149102261,7135.21222995987,12541.9011096042,5420.29689624508,12881.9805318717,16589.8356448922,7418.09187119432,23685.720137584,29340.6191303175,7802.73329588595,15227.9395159977
"36",38142,30775,26011.8243988664,37709.4604300684,49941.3810849193,64104.7333778723,79311.5688437515,95111.147341665,112789.357426774,131757.262028006,158805.747270102,183409.592722883,206040.359197359,229149.318654848,258038.501645005,293262.901628551,330155.983061974,371576.028451681,415633.087812267,436724.32088339,464056.61163546,493972.377563533,320784.971538595,341927.487313152,248213.123953949,152118.965343617,82194.918219537,45673.8768148172,36635.2291904331,32176.0738898727,133802,73870.8298607572,88381,5319.72531648404,5020,5092,45107
"37",58913.4116041621,131505.929021514,167291.130297781,187385.964685516,86353.1061661688,66556.4699555284,29550.6248880519,16265.2270409156,12092.9983869984,27480.0433208542,37854.1789014044,42573.3383020984,22225.9523976525,15054.9841835583,23627.0365837902,36738.9806849194,26513.4170948367,18474.0960263782,16261.5503482845,21232.3717688916,25942.5449328035,31495.3558318542,38344.880749558,38395.4604781275,2924.50487025393,5295.2400146592,6686.59046328411,980.168941933379,2638.45917447082,3483.2222363948,1552.49092844614,2496.06307528145,4997.01092291476,1635.15597411341,5390.28223240825,6697.1312679953,2192.95595309222
"38",86.2802817285524,157.409242981191,148.341745977745,142.440756756405,132.933996150047,127.923255103794,117.594353499739,106.623075730281,691,481.415123964195,368.06348099663,293.527437981778,237.132900884883,206.989035075148,175.628987205148,160.380232141174,194,128.723257438455,0.821575781757285,2,2.53594445866019,3.00685839521003,17,3.24857373488686,3.34666574460609,6,1,0.166712822812357,0.522473049431825,0.567385137826998,0.666159215855043,0.731510476004038,0.799734463606004,0.870771992444991,0.93604539096535,1.04337226143057,1.118526162705
"39",98060,46365,65495,59245,27860,25900,103100,74005,62990,62600,51955,39880,45525,2625,2050,800,335,305,220,5,15,695,0,0,0,0,0,0,0,0,30,5,5,12580,5,0,0
"40",0,0,0,0,0,0,0,0,850,11640,0,0,0,10,0,0,0,0,0,NA,NA,0,0,0,4560,425,0,0,5,0,15,5,0,0,0,0,0
"41",4205.01646416868,26353.602574747,28829.885550342,2631.16475686106,5594.78460281013,7665.91239580519,9257.91638235722,1336.52574073151,826.123583065831,784.804945311124,895.547854264962,759.172320285753,619.438142168233,950.455426969089,818.5910589078,684.985786574129,22756.6754747019,5880.47097193465,1219.89007896728,753.396201608657,582.197347886678,509.275876066156,465.179274908675,431.404030587321,402.515331192596,146.860583306349,235.646171279705,272.957116597427,279.820234117623,128.433301037084,89.3563393974458,70.6101131419501,62.7976548627317,28.060692781058,35.9936628880172,72.5233827993504,29.5312939114532
"42",850,835,195,55,5,22670,20020,1790,165,380,31480,11805,1365,0,175,120,130,135,115,0,0,0,5,0,5,NA,0,0,0,0,0,0,0,190,0,0,0
"43",91935,117040,16435,16575,14370,16560,4290,605,60,60,85,60,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5575,0,0,0
"44",15,135,915,15,5,5,0,0,0,20,5,100,0,0,0,275,5,5,0,0,NA,0,0,0,5,0,0,5,0,90,0,5,450,50,0,0,15
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA,12100,4195,2080,70,45,25,50,70,95,10,45,30,20,150,85,0,35,10,10,25,0,85,110,75,1110,45,35,710
"46",26450,10145,48990,58795,2840,995,945,85,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30120,23285,3895,605,3890,11535,2835,4585,2870,3900,8035,830,8855,2180,12320,1630,4645
"47",NA,2628.07180999089,7713.24888411279,82355.9394150163,8460.08486408144,12731.0892214766,6957.60372118731,24561.1628850924,26079.563244726,8455.19194458258,5056.15006759205,8591.4106995051,6305.21874571335,10983.7350812899,5610.7148625313,21029.318332919,18193.1227936497,13791.9103762687,19283.8241947478,12433.3480883005,7973.15627961307,5875.85198644439,1447.25955775808,941.151209066011,13083.3764802609,2325.13853193748,3057.80543211188,7091.12857401549,1644.26069371568,2052.60533054294,3297.02861930165,30487.2196230718,3578.65586390437,2257.20057284716,2552.14623428149,882.309304003419,957.892351572046
