"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"BRA",153202.5,98425,145647.5,202187.5,189982.5,322815,165147.5,65447.5,57132.5,153587.5,106342.5,19835,15092.5,87.5,1982.5,1450,130710,6952.5,2270,90,2.5,2.5,5,0,15,142.5,0,0,0,170,107.5,5,550,16562.5,535,NA,0
"BRB",102.5,15,15,12.5,17.5,5,5,2.5,5,127.5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82.5,0,0,0
"BRN",1937.5,607.5,1395,1352.5,1542.5,1100,157.5,70,97.5,30,NA,127.5,125,NA,NA,NA,32.5,30,57.5,105,27.5,NA,60,40,22.5,NA,NA,7.5,5,0,10,2.5,0,40,10,2.5,0
"BTN",13008.8679455097,22882.9330360029,16225.2810373146,15768.4346261064,9369.81702377601,10963.1539215369,7569.42973230214,4346.14538726214,5887.61776341867,1807.89348681206,4327.65584057402,1364.11336119724,5096.88549866691,7412.30026527352,1699.41246846098,45.0668125619492,1212.6766462166,1089.51275828366,19438.0569354588,4253.9167195031,8345.65852446076,1076.77187307353,363.561156126792,242.09639325466,166.068776257948,0.0815601468408411,5.08235021342562e-05,4.98840941833834e-05,4.90073549659353e-05,4.81599613249006e-05,4.73353386677422e-05,4.65445651401941e-05,4.57960510807931e-05,4.4468938339981e-05,0.355255107508655,2.70748835453915,71.2967413580382
"BWA",146.494867784322,1084.09963673407,30562.5948647428,32732.0033557497,7041.58192624266,1586.70163604102,1.48375402830858e-06,1.4382995829898e-06,5818.48827919221,3330.23349866037,451.345969858195,1.4077531484881,13676.1574864016,10735.7431294123,1958.575390975,652.149546677211,14034.7936724594,1.10769319228154e-06,1.08664546361048e-06,0.0267050157397776,1.05104546177515e-06,1.03615575164362e-06,1.02279758484869e-06,1.01059012136417e-06,9.99240817534108e-07,9.88626737696841e-07,9.78693433517641e-07,9.69314026377788e-07,9.60376365433113e-07,9.51780806945912e-07,9.43464051217369e-07,9.35361858300787e-07,9.2738616797039e-07,8.64338460360159e-07,8.48444508538826e-07,8.32962003260995e-07,8.17913771489209e-07
"CAF",141949.110975593,79253.0912254921,43609.3510786811,275188.149106696,75892.6397303692,50578.4843172066,62297.4419457112,52613.4409398793,8007.31536286512,22208.5764857066,129028.591241433,97512.7266072643,48589.1945458976,2327.46299412647,22130.0295572149,6913.2737379121,3403.77495236107,2549.49953228731,8822.35467236448,105948.443200012,91081.0348712025,29948.2129815779,15624.0047530456,26552.6733507089,10922.4532218048,1.43405473440605e-06,1.40793768088621e-06,1.38162692031596e-06,1.35534937151238e-06,1.32927822493745e-06,5362.99485157186,1.27778748215679e-06,8465.46132442334,217.736110909396,3634.64226301115,5056.72557773512,1.24107238352877e-06
"CAN",5767.5,2660,2335,10195,7040,37352.5,5962.5,1522.5,27862.5,2582.5,15445,6855,507.5,1307.5,5902.5,817.5,1447.5,30,72.5,515,85,15,37.5,17.5,15,32.5,252.5,155,35,247.5,1897.5,30,205,1280,487.5,27.5,112.5
"CHE",NA,NA,NA,NA,NA,NA,18500,19000,6750,4975,6750,10750,7500,3500,3500,5000,16000,5000,2000,NA,1750,NA,1435,97.5,150,NA,2537.5,5055,2395,192.5,1552.5,152.5,437.5,172.5,87.5,NA,262.5
"CHL",16317.5,23595,16880,11962.5,42752.5,31407.5,6557.5,112697.5,32520,4895,5245,2.5,2.5,0,0,0,145,15,77.5,0,0,0,2.5,0,0,0,0,0,2.5,0,15,0,0,507.5,22.5,0,0
"CHN",22906753.3769191,20607594.9257637,17227960.1213256,17668338.5744375,9450998.4091874,6908244.66055561,4310860.55935584,3079346.05927716,2562945.07189732,2318618.085941,2996836.89450437,3631409.90923617,3522908.28869143,2869362.5212254,2168801.68869303,2038121.65965345,2154358.28999087,1802182.2984269,1749760.68719541,1855106.13695605,1751824.49275185,1235286.57428694,1169869.55115747,1141702.98401692,1712449.65469401,1420516.24392807,1511176.50835178,2117942.7522164,868283.659387455,150350.810662306,71357.2479338531,28480.7065280059,50432.9641236069,693166.500777806,600837.686581735,333469.473741278,122788.395684828
"CIV",242644.212641103,257537.760712982,130718.483794801,87817.0767494694,123369.517316115,433152.523236782,632285.182297764,300203.152944041,310210.311235847,293589.329916226,162780.425602245,230592.62653065,125283.516095418,40005.3378714897,607814.200949003,364782.419967226,168243.728136697,185867.485397012,88225.6010961916,74323.87481716,72920.4761596938,74189.6924227684,61411.5804491046,34148.1617046541,7364.66529231382,1.21017425303016e-07,1.19084794025781e-07,1.17056685788874e-07,1.14908926263091e-07,1.12636699411972e-07,2453.62253183916,1.0773624892213e-07,1.05210238188214e-07,164.387145611596,9.2496823644872e-08,9.02037292638269e-08,43.4332320211522
"CMR",NA,412505.67109968,654451.112995311,402569.937964474,504275.852217225,328173.466839996,173536.665094171,222884.342403339,236551.281308684,205256.043199522,144704.993437406,270486.113228584,131760.753469862,45730.5781655801,28063.0629912512,93769.0653884557,76358.5816329929,94192.5559003723,100680.720655956,133066.801317236,230125.994690555,1.45177492028026e-07,1.41458275537687e-07,4.35304992477505,1709.42175434158,1877.33004620848,1.2757442746647e-07,1.24336404838665e-07,1.21188905355396e-07,1.18131040172109e-07,1.15160889269106e-07,613.586725132932,1.09480524534966e-07,1311.78373730139,6973.58426504457,1.0394451399609e-07,107.959392087248
"COD",2.04539818415839e-09,1.99328886729688e-09,1.94272398168494e-09,1.89269888650756e-09,1.84252424428877e-09,1.7928690754232e-09,1.74377801087644e-09,1.69371550118314e-09,1.64105051769781e-09,1.58545565565049e-09,1.52674695108601e-09,1.4669414571955e-09,1.40990852326439e-09,1.35953637236952e-09,1.31744515297072e-09,1.28353105921519e-09,1.25569887821086e-09,1.23105059479656e-09,1.20615128995638e-09,1.17891563178318e-09,1.14910925219647e-09,1.11778253319983e-09,1.08586761804474e-09,36.5373202614675,25777.158971909,12333.3219826083,730.894885909699,9.41008160282308e-10,9.15070352824898e-10,8.89984974605795e-10,8.65757687762425e-10,8.4238815922788e-10,8.19821988073954e-10,7.79892816993311e-10,7.43672567971032e-10,7.10667302783463e-10,6.80467238112215e-10
"COG",8077.48978649949,72479.3998125867,112890.963680508,133709.104348403,50370.5370583414,29782.7449380401,6036.6910841664,96.3784874679154,4.27135744662799e-07,404.505073918617,5811.89738876161,10166.4287259465,2189.17763559081,26.8619148454115,812.201919483639,6095.72470774213,4126.29038715702,937.997771014926,190.092062835393,755.216679873565,2435.94743179984,5172.48161388589,8911.23612682523,9553.5629035293,2.79763096577845e-07,2.71800866924465e-07,2.63687388812883e-07,2.55686791406085e-07,2.48091924226479e-07,2.41058405570094e-07,2.34574971114121e-07,2.28533966528666e-07,2.22851951559022e-07,2.13111638336372e-07,2.04187161179092e-07,1.95980062844825e-07,1.88407259016365e-07
"COK",4.54452559339735e-05,4.54765446292749e-05,4.52119560324649e-05,4.49020464553529e-05,4.47171225567145e-05,4.47145999277199e-05,4.48360080439469e-05,4.50014696318224e-05,4.50859414760085e-05,4.49989148199048e-05,4.47045122570211e-05,4.42577016804835e-05,4.37785898523835e-05,4.34260086025207e-05,4.32955460052398e-05,4.34402884661456e-05,4.38027830721444e-05,4.42330034703398e-05,4.45087084409712e-05,4.44537914572329e-05,4.40168420533515e-05,4.32860883876618e-05,4.24015361382146e-05,4.15524116150756e-05,4.0852104375988e-05,4.03180599600761e-05,3.99080058036683e-05,3.95930380187037e-05,3.93239300827686e-05,3.90680814346123e-05,3.88193424785133e-05,3.88193424785133e-05,3.88193424785133e-05,3.88193424785133e-05,3.88193424785133e-05,3.88193424785133e-05,3.88193424785133e-05
"COL",49030,23182.5,32747.5,29622.5,13930,12950,51550,37002.5,31495,31300,25977.5,19940,22762.5,1312.5,1025,400,167.5,152.5,110,2.5,7.5,347.5,0,0,0,0,0,0,0,0,15,2.5,2.5,6290,2.5,0,0
"COM",0,0,0,0,0,0,0,0,425,5820,0,0,0,5,0,0,0,0,0,NA,NA,0,0,0,2280,212.5,0,0,2.5,0,7.5,2.5,0,0,0,0,0
"CPV",3056.71829861759,24676.5349958326,27117.8183952027,1674.01467571795,5459.70106752597,293.217751220304,7531.33753264173,553.593808687972,161.579315647845,136.58546315555,196.869910309558,118.640815040778,43.5154830924197,159.208329732555,136.04677408872,77.8927665754257,22495.0562636217,4308.32771987827,475.229410956241,115.184119570878,28.7176707666864,6.13768938980285,0.274029215134242,4.84445236700326e-05,4.79309937242434e-05,4.76038963966863e-05,4.74294133732123e-05,4.7337620027621e-05,4.72340226397305e-05,4.70512328099026e-05,4.67678132987093e-05,4.64041043461982e-05,4.59859257322393e-05,4.35802726378443e-05,4.3050693193325e-05,4.25203501845939e-05,4.19890009315527e-05
"CRI",425,417.5,97.5,27.5,2.5,11335,10010,895,82.5,190,15740,5902.5,682.5,0,87.5,60,65,67.5,57.5,0,0,0,2.5,0,2.5,NA,0,0,0,0,0,0,0,95,0,0,0
"CUB",45967.5,58520,8217.5,8287.5,7185,8280,2145,302.5,30,30,42.5,30,5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2787.5,0,0,0
"CYP",7.5,67.5,457.5,7.5,2.5,2.5,0,0,0,10,2.5,50,0,0,0,137.5,2.5,2.5,0,0,NA,0,0,0,2.5,0,0,2.5,0,45,0,2.5,225,25,0,0,7.5
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,6050,2097.5,1040,35,22.5,12.5,25,35,47.5,5,22.5,15,10,75,42.5,0,17.5,5,5,12.5,0,42.5,55,37.5,555,22.5,17.5,355
"DEU",13225,5072.5,24495,29397.5,1420,497.5,472.5,42.5,112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15060,11642.5,1947.5,302.5,1945,5767.5,1417.5,2292.5,1435,1950,4017.5,415,4427.5,1090,6160,815,2322.5
"DJI",NA,1.9429982415553e-05,1.90221197809981e-05,54821.1439094376,6.58101730977884,1.65599326612531e-05,1.53818859023325e-05,5085.47341076973,7903.32714207051,52.4151962526012,1.22172375567331e-05,7.32626418406457,1.16593666074083e-05,1.14648106724902e-05,1.12713255251418e-05,4272.93766006735,1.08797542984762e-05,2190.70538319801,4832.70284953736,1408.35718984736,69.2178560621752,1.00534814835296e-05,9.91167082564637e-06,9.7732946490181e-06,9.63726442337887e-06,9.50315854608696e-06,9.37053924587872e-06,9.23855880041735e-06,9.10630940498258e-06,8.97342258177058e-06,8.83977243915091e-06,4988.80872105627,8.57358760197879e-06,8.2048407440416e-06,8.06992438906473e-06,7.94216199095921e-06,7.82056332182535e-06
"DMA",67.5,5,2.5,470,160,112.5,205,25,22.5,32.5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0
"DNK",89127.5,39140,83105,52970,32967.5,58725,15670,1545,1012.5,450,405,322.5,287.5,90,50,297.5,152.5,NA,NA,35,27.5,80,0,0,5,67.5,5,35,15,12.5,210,5,42.5,72.5,22.5,7.5,10
"DOM",8525,9177.5,7400,11072.5,11042.5,1252.5,1247.5,1730,3762.5,8692.5,18780,19125,11592.5,7.5,0,0,2.5,35,685,635,282.5,0,0,0,0,0,0,0,0,0,5,0,0,135,0,0,0
"DZA",58691.2073258478,298175.625135712,342334.433371371,357763.622676719,204878.481727092,57620.6820946119,11704.8641315959,468.951172154643,1.25250227966944e-07,1.22084989895299e-07,1.19116332020219e-07,1.16341272171638e-07,1.1376960573628e-07,1.11414546921651e-07,1.09275930859631e-07,12498.8309287281,1.05566825503445e-07,1.03939951423548e-07,1.02425000036988e-07,1.00994015372891e-07,9.96408955344918e-08,9.83476126092953e-08,9.70648614817549e-08,9.57365738907257e-08,9.43283083865154e-08,9.28349224160741e-08,9.12747701864447e-08,8.96694396512743e-08,8.80479330556128e-08,8.6433642798589e-08,8.48311249024292e-08,8.32466895417383e-08,8.17042108414157e-08,8.19024087439502e-08,8.03449156094871e-08,7.88915542893065e-08,7.7531912223705e-08
"ECU",11695,4117.5,6390,17447.5,2957.5,2097.5,3842.5,20010,9122.5,4115,3962.5,10890,9067.5,9170,2297.5,105,0,0,0,0,5,0,0,0,0,0,0,2.5,0,0,657.5,180,0,0,0,2.5,0
"EGY",322743.976177209,1200873.2345286,241501.068606073,931903.680959703,1083857.94820584,228097.500105279,309846.207686921,676486.788415827,757209.953936842,176116.221917299,187981.803860421,880645.094968018,506433.786619043,245419.152490117,296175.659717108,869469.694210504,887578.921598977,966430.863272085,245772.182249636,464479.682548545,350628.054905176,97353.856323396,4.64681925826937e-07,4.57053811686592e-07,4.494993188775e-07,90345.5972962474,251112.549834703,96017.5828924578,62111.8606411599,4.13240174523821e-07,4.06386395312985e-07,3.99693621755404e-07,14077.6858429973,521640.517905486,1130795.62848761,105815.675924371,13688.6695862284
"ERI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12762.7686417725,9379.20497180548,54752.5616798093,51459.3244034008,24126.7620315972,15045.2759559854,46212.1887887914,9722.68952469499,11344.8431452385,15106.2697615847,4.48166233568692e-07,4.30758345881799e-07,4.15275969611884e-07,4.01341895939211e-07,3.8849241190686e-07,3.76209294161711e-07,3.64199895908079e-07,3.52432442674022e-07,3.41046507257303e-07,3.3015710954043e-07,3.3015710954043e-07,2774.04162555613,74.8421664835691,28897.0970303056
"ESP",366722.5,398905,760875,97285,201657.5,550272.5,87865,56752.5,82270,54125,61112.5,61150,29962.5,16990,22122.5,12410,4605,1115,615,380,NA,167.5,640,65,55,905,667.5,742.5,102.5,755,9505,3010,327.5,657.5,287.5,92.5,402.5
"EST",NA,NA,NA,NA,NA,NA,NA,NA,NA,82.5,322.5,177.5,780,575,42.5,47.5,45,42.5,30,22.5,0,0,0,0,5,67.5,2.5,0,0,0,17.5,10,5,97.5,10,5,2.5
"ETH",1.26186153748264e-08,1.22732753959909e-08,1.19045904245496e-08,1.1532540478143e-08,716534.175438082,286552.270220641,166266.858226492,125688.500848336,98446.9571487495,70328.6457152205,68323.208325267,84163.441024384,88422.9333914438,67536.3297308553,65381.0888341978,55596.9110463225,51538.0635881014,58039.3673540584,81694.3825166854,100760.889003096,6.70221689258454e-09,6.51140008578466e-09,6.32676444567437e-09,6.14939044130125e-09,5.97975791105654e-09,5.81757420015094e-09,5.66207913887951e-09,5.5126494480362e-09,5.36860234046088e-09,5.22946419501125e-09,5.09504471946087e-09,4.96530438987008e-09,4.84014872625949e-09,4.67779348589659e-09,4.5604067189231e-09,4.44772896290857e-09,4.33948910139037e-09
"FIN",9532.5,13505,11877.5,1822.5,1535,1852.5,1587.5,322.5,2580,7.5,20,12.5,0,2.5,15,0,0,2.5,NA,NA,2.5,0,0,0,2.5,0,0,12.5,5,12.5,67.5,0,5,7.5,5,10,27.5
"FJI",21213.5509005454,18945.2714585149,6636.61699473169,17176.0378242722,3319.17480733735,7169.69101423249,23634.5151586054,12135.6699626176,1815.87697949541,688.89272654456,4.75377467955562e-05,24680.7594888425,7935.79246074594,846.533739749609,8106.05267904291,924.709171447567,19161.463649045,4.36541952095748e-05,4.33165394273516e-05,4.30609088927225e-05,841.293145541535,5014.93100896604,5047.78133726454,609.915496694584,4.24935529870218e-05,1337.41899429685,4.18369806139962e-05,4.14176036267477e-05,4.09984217365489e-05,4.06134852933837e-05,4.02689948864055e-05,3.99549944991584e-05,3.96682614892674e-05,496.44019795311,3.91754352934148e-05,186.312552468379,3.85977452475039e-05
"FRA",2830,2030,2175,2445,997.5,2327.5,NA,NA,NA,NA,392122.5,273870,193080,110012.5,135597.5,165000,2e+05,NA,NA,25000,NA,12962.5,NA,11120,90,100,97.5,1510,3852.5,12620,37372.5,0,680,667.5,392.5,197.5,1297.5
"FSM",NA,NA,NA,NA,NA,NA,NA,2.60055815518578e-05,2.54331902018734e-05,2.48417955478475e-05,2.42210096125239e-05,2.3597172880585e-05,2.30239200870175e-05,2.25636943601559e-05,2.22492293227017e-05,2.20878173022854e-05,2.20544333227046e-05,2.21094485779449e-05,2.21972225740164e-05,2.22753241907458e-05,2.23293646836042e-05,2.23683946649622e-05,2.24033658309253e-05,2.24540264037731e-05,2.25337366862588e-05,2.2642901027492e-05,2.27697982448927e-05,2.29003170393316e-05,2.30137348823378e-05,2.30945781906078e-05,2.31381211849291e-05,2.31446108387434e-05,2.31101901404518e-05,2.30066548357888e-05,2.29145702308475e-05,2.28045155150625e-05,2.267336467765e-05
"GAB",8918.05478645491,9769.75163162656,28309.0186158567,55018.3441069933,36973.6471307916,51167.6717977963,15661.4991231989,4046.97660598766,6635.01856614887,3063.27597199337,11.0616126485602,3975.0122074708,3372.50508236684,198.37088882311,4.83159634361814,827.762324548726,1.09959476757293e-06,1.07215216216261e-06,1.04580019000267e-06,552.87828924927,6679.87565545959,875.233988003099,0.305461357362147,277.030015150775,9.0665033503079e-07,8.85190899246879e-07,8.64103081532619e-07,8.4344225514954e-07,8.23281664175113e-07,8.03672270954792e-07,7.84608409021281e-07,7.66087187797915e-07,7.48151147811349e-07,6.66782473901506e-07,6.47968482758721e-07,6.31731195355201e-07,6.17584185791387e-07
"GBR",154447.5,264105,287370,169080,261935,225535,112125,220647.5,75400,70570,29317.5,30792.5,30045,58812.5,22542.5,17165,12110,185,NA,260,182.5,785,1150,472.5,197.5,1910,2555,3612.5,3030,1107.5,2780,5230,4797.5,342.5,227.5,1395,910
