,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
LTU,53011,53614,54383,55227,56052,56727,57120,57145,56744,55891,54571,52806,50711,48413,46009,43587,41212,38935,36818,34940,33392,32251,31507,31130,31082,31304,31713,32212,32710,33150,33500,33761,33971
LUX,4048,4097,4143,4187,4227,4272,4330,4408,4511,4636,4777,4927,5074,5208,5323,5408,5459,5479,5472,5444,5404,5361,5325,5304,5304,5331,5387,5467,5565,5677,5796,5916,6033
LVA,36045,36983,38033,39067,39970,40572,40705,40298,39331,37827,35835,33445,30843,28223,25738,23551,21790,20474,19594,19147,19096,19365,19827,20362,20893,21360,21733,22032,22272,22445,22554,22611,22639
MAR,770307,778528,783601,785080,782941,777737,770486,762467,754638,747335,740395,733234,725078,715468,704476,692277,679201,665919,653137,641402,630940,621737,613887,607786,604129,604737,611693,625474,645398,669928,696053,720049,738722
MCO,372,382,390,395,397,398,399,400,400,398,396,393,392,393,395,399,404,408,414,420,428,434,440,442,441,438,435,433,431,429,427,445,445
MDA,84742,86709,88599,90261,91529,92129,91784,90405,88013,84703,80674,76204,71639,67285,63331,59884,56939,54357,52039,49987,48243,46864,45861,45209,44855,44717,44704,44718,44671,44502,44171,43675,43060
MDG,389313,393320,399760,409285,422008,437559,455111,473384,491299,508337,524282,539265,553739,567992,581954,595386,607977,619528,629979,639419,647990,655909,663560,671350,679603,688646,698725,709858,722028,735247,749487,764655,780523
MDV,7125,7489,7860,8214,8530,8786,8960,9052,9065,9002,8873,8694,8487,8269,8053,7839,7620,7388,7145,6900,6673,6486,6354,6287,6287,6357,6493,6673,6877,7085,7275,7425,7526
MEX,2375048,2364239,2356724,2352456,2352065,2356321,2365725,2379634,2397040,2416984,2438460,2460471,2481799,2501101,2517116,2528420,2533915,2533667,2528066,2517469,2502599,2484479,2464446,2443712,2423068,2402961,2383406,2363972,2344409,2324887,2305654,2286962,2268950
MHL,1005,1017,1029,1144,1155,1163,1170,1283,1286,1287,1285,1279,1271,1366,1357,1349,1344,1341,1338,1335,1331,1325,1216,1209,1202,1195,1188,1281,1274,1267,1260,1110,1110
MKD,40687,40530,40276,39917,39450,38891,38268,37608,36931,36238,35505,34694,33779,32758,31652,30501,29355,28269,27289,26440,25739,25184,24742,24382,24089,23846,23642,23467,23312,23163,23011,22854,22694
MLI,330657,336091,341354,346448,351416,356304,361183,366210,371569,377424,383952,391296,399509,408622,418673,429660,441538,454193,467520,481459,495992,511125,526864,543176,559995,577265,594940,612957,631233,649673,668164,686610,704985
MLT,6439,6478,6499,6511,6514,6507,6481,6432,6355,6251,6122,5973,5812,5644,5472,5294,5106,4905,4693,4480,4279,4106,3973,3886,3844,3841,3866,3903,3936,3959,3969,3968,3960
MMR,1244821,1254223,1257698,1254761,1245548,1230755,1211660,1190334,1168707,1148014,1129411,1113585,1100145,1088557,1078554,1069341,1059859,1049276,1037151,1023530,1008964,994383,980880,969256,959778,952482,947090,942850,939058,935322,931319,926858,921941
MNE,10661,10528,10383,10224,10053,9869,9669,9458,9242,9027,8828,8656,8518,8418,8353,8317,8298,8283,8260,8224,8173,8111,8044,7979,7916,7853,7788,7718,7641,7558,7471,7383,7296
MNG,65764,67177,68757,70391,71946,73195,73891,73886,73116,71592,69385,66636,63605,60542,57616,54943,52568,50476,48685,47282,46411,46216,46717,47865,49572,51700,54083,56509,58778,60743,62286,63348,63992
MOZ,563479,571849,577888,581742,583809,584817,585715,587585,591361,597624,606703,618570,632704,648673,666374,686063,708125,732511,758798,786281,813907,840524,865217,887310,906430,922429,935520,946585,956510,965849,975115,984685,994742
MRT,66138,67521,68961,70469,72049,73700,75411,77168,78958,80778,82623,84494,86397,88340,90327,92370,94480,96660,98910,101222,103593,106018,108480,110957,113426,115866,118259,120593,122855,125030,127099,129048,130883
MUS,22360,21598,20966,20571,20445,20578,20912,21329,21726,22050,22260,22332,22290,22156,21939,21663,21362,21059,20768,20485,20175,19789,19293,18678,17963,17195,16437,15754,15195,14779,14510,14367,14301
MWI,339331,349606,360949,373469,386969,400895,414478,426982,437904,447094,454684,461081,466945,472803,478853,485036,491094,496766,501983,506936,512018,517718,524442,532452,541826,552473,564138,576387,588856,601373,613853,626314,638892
MYS,407996,418462,429399,440447,451383,462120,472697,483201,493626,503820,513808,523680,533260,542157,549851,555294,557323,555486,549839,540847,529388,516664,504187,493319,484958,479903,478549,480343,484610,490931,498752,507456,516360
NAM,43185,43744,44384,45143,46036,47079,48269,49561,50900,52244,53537,54730,55793,56705,57454,58041,58483,58822,59091,59306,59468,59568,59598,59562,59478,59371,59265,59185,59151,59180,59285,59473,59730
NER,321813,331078,340600,350343,360324,370591,381212,392284,403893,416093,428949,442508,456738,471580,486976,502806,518928,535257,551759,568455,585344,602447,619926,638003,656895,676886,698247,721115,745568,771638,799260,828278,858448
NGA,3440971,3521671,3600265,3677254,3753102,3828284,3903325,3979057,4056437,4136356,4219689,4307077,4398665,4494553,4594943,4699851,4809082,4922166,5038699,5158506,5281386,5407200,5536032,5668030,5803329,5943048,6088619,6240206,6396958,6557247,6718063,6875862,7028034
NIC,144161,146305,147931,149048,149714,150103,150452,150941,151660,152592,153588,154411,154814,154633,153840,152450,150552,148367,146119,143962,142074,140602,139567,138950,138730,138831,139131,139472,139717,139792,139656,139316,138838
NIU,107,108,102,96,90,90,85,81,78,75,68,66,64,58,57,56,54,53,52,51,49,48,47,46,45,44,43,42,40,38,36,30,30
NLD,171039,171481,172740,174557,176735,179101,181535,183974,186336,188506,190359,191809,192887,193647,194134,194489,194896,195464,196219,197100,197907,198363,198242,197422,195915,193817,191313,188691,186209,184019,182246,180939,180027
