,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
GAB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GBR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8372,0.8281,0.8008,0.8008,0.762,0.745,0.74,0.77,0.76,0.754,0.751,0.744,0.75,0.79,0.87,0.8775,0.87,0.87,0.87,0.87,0.87,0.87
GEO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6279,0.6643,0.6643,0.6643,0.076,0.398,0.569,0.75,0.87,0.88,0.92,0.87,0.71,0.838,0.773,0.84,0.84,0.84,0.84,0.84,0.84
GHA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52,0.52,0.52,0.52,0.52,0.52
GIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GMB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0.37,0.37,0.37,0.37,0.37
GNB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNQ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771,0.771,0.771,0.77,0.771,0.833,0.833,0.833,0.833,0.833,0.833
GRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8372,0.9009,0.74,0.9009,0.61,0.814,0.867,0.858,0.86,0.78,0.86,0.852,0.748,0.748,0.748,0.748,0.748,0.748
GTM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0.8463,0.8099,0.63,0.72,0.743,0.9,0.84,0.84,0.82,0.84,0.9,0.9,0.9,0.9,0.9,0.9
HND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HRV,0,0,0,0,0,0,0,0,0,0,0,0,0.819,0.819,0.819,0.8372,0.8372,0.8281,0.8281,0.8372,0.8463,0.9766,0.98,0.983,0.9787,0.978,0.982,0.981,0.979,0.8918,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.98
HTI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HUN,0,0,0,0,0,0,0,0,0,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.9009,0.996,0.996,0.997,0.997,0.997,0.9009,0.9009,0.995,0.995,0.993,0.955,0.995,0.9948,0.9948,0.9948,0.9948,0.9948,0.9948
IDN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.92,0.85,0.909,0.29,0.851,0.78,0.849,0.854,0.854,0.81,0.81,0.81,0.81,0.81,0.81
