"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"GRD",180,34260,5360,220,140,400,120,80,40,120,40,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",69440,79840,55240,61440,45440,33000,8000,3640,48260,176040,4180,1940,340,4080,460,20,160,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",140,820,400,5880,1740,300,440,18340,220,20,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",117140,48920,23360,100560,129520,12060,28740,23100,127060,167200,1900,1160,260,60,0,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,2380,2340,3200,1740,2760,13940,2380,4800,12960,620,180,160,120,380,1080,40,20,0,1020,40,140,240,40
"HTI",50040,21280,17380,33620,42220,5380,62600,4700,11600,28280,NA,NA,NA,NA,NA,20,0,60,0,19840,3180,0,0,0,0,0,0,0,0,0,0,0
"HUN",211460,50420,2480,1960,400,340,600,22060,NA,580,320,280,660,220,80,240,480,460,20,20,400,0,0,0,40,20,0,0,20,0,100,40
"IDN",NA,NA,NA,NA,NA,NA,NA,NA,667600,228940,254340,1586000,1235640,1002300,685820,655680,557620,1060480,1479260,981480,870000,613740,642220,777080,988600,1103300,417920,213000,416360,330580,437860,309780
"IND",4041080,2923920,2592780,3817620,3224320,3101520,5058800,3227580,3315420,1792240,1557180,1435960,1007820,1010360,749880,941440,1220080,679800,420260,776700,1035600,800880,942940,1030920,734220,1283700,822880,885160,1123760,596160,586780,373360
"IRL",21500,37940,123600,114500,198060,9020,4020,18720,24960,11120,2700,3580,86560,24660,4700,4560,3700,4080,2940,NA,4820,4860,11680,6680,1900,1740,1280,1140,3280,8860,5700,2140
"IRN",717160,954380,872460,658180,411640,298080,387660,231180,117900,106820,120680,100560,92320,10120,5260,46580,78020,57380,82740,237480,191640,191080,232880,60,140,4400,2660,2540,5240,10760,1460,6640
"IRQ",1285880,631280,758060,762960,443720,202440,159560,185680,232340,60900,227160,402120,326780,213140,153000,5120,14160,874700,198400,14520,81760,NA,NA,181620,18160,9480,4600,109880,606560,9840,300,300
"ISL",480,280,780,3240,7480,2640,280,220,460,280,200,160,160,140,40,20,20,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0
"ISR",4560,157280,2580,2740,60100,39020,8760,3880,580,4600,19820,1320,2820,31100,440,380,240,160,280,720,380,40,2480,2320,40,180,10780,18620,100,460,1400,4220
"ITA",1424780,368460,527420,1542980,1500800,426120,412540,1843760,584280,104460,469160,1300260,337800,123160,742620,651920,825080,81440,58160,29140,NA,187700,219640,11980,2700,8780,6420,32340,7020,7440,103780,0
"JAM",105320,56300,23280,4720,1340,600,740,600,114520,73020,6160,0,0,0,300,80,0,40,0,0,0,0,0,0,0,0,0,40,0,0,0,0
"JOR",23480,31880,3660,51840,11180,5940,32900,96200,27940,5800,2860,21420,59700,10320,6360,8960,140520,8560,2300,640,1220,380,1520,420,560,20,820,40,0,0,0,60
"JPN",429420,134320,145620,245360,56200,126460,117440,62180,35060,65180,109040,NA,40040,NA,NA,32800,NA,17980,NA,449940,451040,676240,165720,175040,NA,10400,NA,220300,14820,9000,8680,4560
"KAZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,5460,28500,12940,65940,35760,5680,2460,2400,38700,27820,4900,1880,360,480,44080,322360,2180,260,400,0,80,2540,1100
"KEN",5156780,5415340,5713620,4002860,2229840,523980,997160,1404000,1734540,1541440,1198740,1300080,19220,83600,66440,71440,66780,185240,172020,420040,226080,15320,1300,400,3060,36940,30320,25640,24360,1900,47900,0
"KGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,11680,16480,16300,76500,3360,340,1480,19960,47940,9560,320,340,40,120,160,1060,540,800,320,20,0,4440,0
"KHM",815480,1152100,207360,766580,891140,344380,185620,98680,185120,49460,43720,55180,25240,18920,40760,56280,76520,39860,276540,244740,75220,27220,13060,7040,5280,3760,7880,84220,95580,23120,14440,300
"KIR",1400,220,0,28340,40300,40,440,5280,32240,600,160,87140,2280,5840,80,260,500,7100,40,0,0,0,NA,0,0,NA,0,0,0,0,0,0
"KNA",1040,2760,11120,40,540,440,420,240,240,1600,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",46140,135520,13900,44920,25660,36360,37600,31580,47880,68300,NA,NA,NA,157660,1420,1420,40,80,NA,652940,461200,1240,660,220,140,560,3880,40,340,2280,840,40
"KWT",51900,11720,31800,12160,41220,4740,8560,1400,1420,1420,3300,7660,5200,8640,240,300,520,1800,260,120,NA,NA,NA,460,200,NA,NA,NA,NA,260,640,540
"LAO",NA,7660,21520,18480,29840,27340,51600,44860,55860,43360,28000,10400,21660,19680,63480,18340,13420,92260,46040,6640,1880,41400,36200,29820,5900,1160,33560,3480,1560,3060,2260,640
"LBN",60,NA,5320,NA,NA,NA,NA,NA,NA,NA,NA,260,7920,1020,60,40,2680,19320,160,100,160,720,10520,4260,12360,19120,7460,480,440,240,180,180
"LBR",156200,137460,96700,123020,53720,16720,43560,51120,37320,NA,NA,115520,127960,11420,1120,38760,59220,28720,33580,119540,27580,2620,2840,80,160,400,20,20,120,44000,5580,860
"LBY",31400,18560,19920,50520,83860,17020,8020,6320,4140,18620,33900,73820,14660,22540,NA,NA,520,1000,NA,NA,12660,77800,NA,55420,5840,20,1180,160,6580,NA,NA,6400
"LCA",2680,40780,1420,260,180,640,80,80,200,600,40,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LKA",124640,265460,163420,264300,187960,124700,70160,52600,15600,80080,37920,14020,11160,11320,8160,3160,3900,3540,48340,330540,6180,2780,1300,700,60,0,880,660,420,1580,1200,1020
"LSO",152480,138820,104780,116420,147240,87520,48960,35940,27560,43900,47020,36320,4700,11460,6080,NA,0,NA,18880,13200,4340,0,20,620,NA,20,40,0,0,49760,3440,3580
"LTU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2860,4000,4980,5720,3760,700,600,360,460,380,140,2060,20,20,20,20,0,20,0,40,140,0
"LUX",4280,4860,420,700,1240,540,3060,360,240,320,20,960,80,20,20,500,20,NA,NA,0,NA,NA,20,0,NA,160,0,20,0,0,120,40
"LVA",NA,NA,NA,NA,NA,NA,NA,NA,NA,420,120,4960,1080,200,40,60,80,60,0,0,20,NA,NA,0,40,140,0,60,0,0,20,60
"MAR",2189720,1063200,1616120,229680,84320,306660,532420,46120,33780,31540,42500,120160,168620,70240,47600,26480,50240,157260,217060,147360,54480,120000,216820,127980,NA,24340,44960,29100,16680,12660,19640,13360
"MCO",240,0,0,0,0,0,0,0,0,0,NA,3200,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0
"MDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,64840,12420,6440,17320,79020,23480,6880,7280,13460,4900,13740,9140,98580,1740,80,120,680,200,0,0,0,0,220
"MDG",2813060,1689880,2038500,1337880,1397680,430920,216820,341380,593080,289180,116480,36920,121200,283280,234620,119220,277300,310200,703920,705120,187140,215900,1244660,711160,NA,40,0,60,0,20,0,40
"MDV",29580,0,0,0,40580,0,0,0,0,0,0,0,1220,14120,61400,0,NA,0,NA,400,0,18520,1500,740,27900,940,400,0,120,0,0,0
"MEX",222720,127280,67360,103160,476520,196480,55520,78300,407620,1375640,101540,10660,3440,2560,4880,40,0,0,0,600,60,0,880,1280,120,460,0,0,0,0,60,0
"MHL",0,0,0,0,80,20,0,NA,260,280,380,200,180,0,NA,0,0,0,0,0,0,0,22540,0,0,0,0,NA,0,0,0,0
