"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"GNB",479.699156872743,1081.34523418785,1385.68969385382,1495.77010980515,1544.3501409237,1583.31500849868,1612.26454229581,1636.64255244217,1667.15341691645,1691.8895988754,1733.14532527758,1768.39067621736,1820.41910722135,1846.64304451464,1868.96659181911,1911.63108093162,1938.54856937987,1972.37814779561,1999.64537338179,2038.28481142791,2061.00066730354,2115.5001505629,2155.70025336681,2183.99310859935,2243.99582770807,2269.299170977,2308.35567701551,2334.86983845312,2394.49896661618,2412.57461983949,2491.81596120925,2493.84768844578
"GNQ",-0.745880608628061,28.5503538327955,95.7954617799707,169.138661952052,234.756940626684,285.746276435453,330.956451676568,368.169063740308,392.83805360292,416.567529931572,429.756200840736,442.833788306791,452.763793978533,458.347659519897,470.052034261547,480.395587568405,480.84646931941,494.457732557776,500.51054171769,510.256944330696,521.576292168456,529.327060317222,541.032068400352,556.404251811735,571.590845104446,584.49616442877,605.258470783177,621.720729141089,637.448544324853,660.235395892682,668.062240892972,688.455495993206
"GRC",38.1853730536483,44.7110111949341,47.6417387147625,47.1649282734208,45.9162845290519,44.3158839454487,43.5529700572417,41.3632024236035,40.9121820641599,39.862438617378,38.8020508141794,37.673656866478,37.2915702641087,37.8647944183268,37.6185655420054,37.3334051790849,37.4873925046,38.6888647074858,38.4240925745409,38.4536955284584,37.9162670249595,38.2517335665253,39.3321737309903,38.8680607806312,39.145346466431,39.3487627207027,40.6687017418927,40.3585027045529,40.9431458509371,41.6128750046991,41.9897971649443,40.7881725070381
"GRD",0.337182640129853,0.786666054454212,0.975687962936763,1.03837488083544,1.07303806034893,1.0970799632739,1.10822288231201,1.10261672149986,1.07867055227122,1.03983771378922,0.991719053004079,0.941889154337739,0.894023445963255,0.852912089855994,0.819126576433227,0.792038307090644,0.769414497692163,0.750263618119787,0.732981971769405,0.717199656216446,0.703817465883212,0.693539700132466,0.686680646531822,0.683870268096668,0.684304558309349,0.68796257200628,0.693877288252451,0.700955942344281,0.708393494305095,0.715428779699824,0.721063783194195,0.724822255444367
"GTM",26.3026944603059,74.7309542125978,93.6824149767812,98.2380253321338,100.280648463184,101.978669871046,103.733492409151,105.640831187297,107.758482255915,110.1074419783,112.661010741181,115.319665448164,118.009758960334,120.651028201335,123.201967263625,125.664742864075,128.002037266005,130.3168301603,132.646572423168,134.997205257832,137.341437036947,139.604688631621,141.771323489178,143.824244114448,145.75931296714,147.599269436827,149.397457773568,151.199677745408,153.049314234126,154.977242691097,157.00100406622,159.100317872649
"GUY",3.00831599080378,5.71760572987722,6.47160412883044,6.38445429257889,6.14365963172605,5.94192028363462,5.80361780177831,5.72609371157314,5.6886549767456,5.67758155328348,5.67996279878391,5.68341850032663,5.68647951209645,5.68702296245204,5.68169247873171,5.66631709981161,5.64095689230109,5.61343721875882,5.59176812197988,5.57983411751374,5.58338420586337,5.60460679844243,5.64537225893805,5.70227329683089,5.76986603966581,5.83924052809377,5.89876061850011,5.9368858501766,5.94682082940021,5.92583147998576,5.87565916065794,5.80305771447296
"HND",13.5592413173118,39.6985242485756,50.1443025371013,52.8852864592919,54.3252263220563,55.5922875890666,56.8114136664082,58.0487780533926,59.3082804166353,60.5726910414525,61.7997832906388,62.8959345375389,63.8671493756538,64.6929831464126,65.3592355115082,65.8582978345511,66.1760342410129,66.3623664242488,66.4617629548021,66.5143003843014,66.5623933781074,66.6022763194326,66.6758247599026,66.79961498928,66.9880690263927,67.25768585255,67.6209053531502,68.0599059321784,68.5528850032017,69.0846184991749,69.6366679347986,70.1979144950447
"HRV",34.657844424752,44.2886897607926,47.2150748401885,48.3523124540571,47.7016816443565,47.9868299563465,47.9782564951303,46.1107499979086,45.2889495324373,44.4599848760737,43.5398153415069,42.14251556672,39.7957311722286,39.1688285741236,37.82194546349,37.1382443544519,36.592482704003,36.2584984159548,35.7106534054118,34.5723586475868,33.5195596854547,32.6832988340725,31.7563198891517,30.7941701621332,30.3318179870025,30.3203970051788,29.9805645258729,30.5206578684096,30.4010394823913,30.3998739153329,30.920100343334,30.5893220462992
"HTI",21.437473101898,56.6788476883625,71.5975290170036,75.8315852097986,77.5894938594043,78.5465074120595,79.3181359083177,79.8439186082987,80.2504107658184,80.6274843428507,81.0505485323594,81.4939585971575,81.9795845534389,82.4829551878321,83.0005275029006,83.5136532472254,83.9783131100408,84.3874400011108,84.7321471401726,85.0104723321599,85.2307748088192,85.3691615310734,85.5040443215591,85.6716020730827,85.8849074280126,86.151238624629,86.4386249624949,86.722574206545,86.9743358579963,87.1876304442264,87.3670529841662,87.4937028360713
"HUN",85.7666610372452,98.5639386509486,101.474469186463,101.934739380869,97.2479693889681,96.9297541126955,95.9036010134157,94.0644060248015,94.5088471943723,95.3909531070514,93.3173247972722,92.4009279382377,89.9746610377829,88.0736700698813,85.5760959370771,83.4891169163598,82.1765863114036,77.3873480370664,76.5607712464823,73.3598975229166,71.2747584287813,71.4456794459009,70.364572834523,70.6057972934435,71.384296910833,71.212059056647,71.7859690524151,72.3623580544155,71.9045506410743,72.2754002883184,72.2214513359239,71.4655138212017
"IDN",-1242.80341154597,36835.9732357063,64249.5968286046,63682.4938063984,64607.795006631,62756.1104553311,63267.7509930772,63846.747551658,62326.5055980518,61685.0391955489,62506.5551275802,62543.4394167663,62273.3577336191,61603.0313084934,61220.2244819313,60758.3069864095,61159.5925551649,61189.2614112227,60819.3800678869,61311.7340571391,63248.0778482837,62864.8281240327,63825.2017395959,65830.7742883479,66963.3704524535,66572.5841977941,67597.7527325286,67698.4300159004,69150.5813788892,67913.367567508,67706.6139606182,66276.7575212801
"IND",182467.794128086,258985.997540377,272297.56595588,279091.503692821,280929.120343848,285493.468135905,289636.770071435,293454.419484705,294846.540804525,298591.753771196,299810.651249273,299734.019092988,304228.858234116,303717.947380766,305712.172515918,304787.701135631,304839.479139357,305366.831904543,307171.863524014,308526.725187215,311035.433157351,311618.207055298,311225.461182133,309989.021915793,311978.095215197,310622.123216196,310992.148384184,308100.612586563,306735.420344098,306501.93978074,306763.139653777,308039.936786514
"IRL",13.560335408322,20.4975117779557,23.064469560985,23.5924998118334,23.1730360355176,22.6027499166114,22.1148762199086,20.7484184515354,20.6389273022051,19.5470948904433,19.0090989500682,18.7957099148514,18.1139781897596,18.0892585161019,18.4346184293478,18.7230581478262,18.6090018711416,19.2331830989753,19.3342961429926,20.0787883755253,20.2556322492253,20.7960155083807,21.1482665954594,21.7442949063654,22.448209466419,23.2378075215623,24.3536820161283,24.8395555900476,25.2886348995712,25.0866075882873,25.5780350255029,26.4187239656989
"IRN",523.417852016484,1156.55788521947,1335.76773567999,1389.60823176335,1432.04653451529,1459.30903440737,1450.91219875361,1462.38953264752,1438.83625417179,1412.16109171319,1388.72062719316,1325.58622234856,1281.95395004923,1213.189645802,1158.82349586681,1120.59113848095,1064.72648482224,1021.22990804849,985.121176362268,951.413354853769,945.287548569804,927.266772568871,937.675166629847,938.707760848138,954.999132765205,981.387679347967,1001.52660828544,1026.02596072353,1056.08675095543,1078.36816934427,1110.15973536902,1122.29279166603
"IRQ",2608.30766102456,4117.36595610766,4228.22384036416,4322.98031768887,4427.5584405964,4549.53382619166,4667.82782545213,4741.4073785161,4853.21256969332,4952.49529303715,5077.14365548982,5142.44500675102,5293.44468481196,5318.32013263641,5555.5366402497,5676.47909905847,5845.26531175549,6016.28725596098,6179.12060447949,6379.76838612862,6459.40502591272,6668.58332704087,6790.83792895641,6943.26111998948,7079.64678553217,7229.9360874123,7318.21749108483,7361.38071170275,7514.69470100227,7604.23489089154,7753.46687966343,7921.22590735979
"ISL",0.892535797325959,1.30050138542714,1.44324896994542,1.51087476417024,1.51765409907556,1.57822895930599,1.53839552452463,1.56925112554778,1.59205433623583,1.58937237929049,1.60946637614976,1.63063523079174,1.59201561666302,1.61240992305891,1.62598236984362,1.61724806911233,1.59331551279598,1.56450558924815,1.56407407373266,1.54157194035398,1.48782742458222,1.50498900257374,1.5055513253561,1.53235539044824,1.55348829160999,1.60465922043797,1.61021317706094,1.62667347443285,1.65693325405805,1.68589351099328,1.69780408314252,1.75621560756002
"ISR",14.4452193196489,26.8106866643005,31.7699337080706,32.7935740447414,33.8031190310299,33.2178696525249,33.8609216310225,34.717556111539,34.7458491070696,35.9249962787867,35.2763405215045,35.6362151775689,36.4215653776824,36.9826003604628,38.4229679994845,39.3502067673492,40.4402057555686,41.6685935510387,43.7927239107868,43.9174504422638,45.7047551791355,47.0217671589115,47.9807482733497,48.5343109306317,50.3416332503924,50.6425029893084,51.9911491292289,52.1697400159698,52.5393538466307,54.2736504872504,55.514109729114,57.7966033665942
"ITA",223.003303748894,231.697038471527,231.487684209365,225.682937975002,217.785467941608,217.05257254752,215.925019476297,209.875869475173,211.255708011106,203.267937846691,207.509050475007,210.673660580461,203.035364066833,203.29494653006,203.12781307531,201.04016349743,199.985861100481,198.101436185936,198.000173138891,197.73890705089,191.119154371723,194.525580801024,193.724578624115,193.898500484123,193.402572004497,201.323827693071,202.655834153625,200.058313544741,210.282550738667,207.53603233694,208.728545169151,207.362759063234
"JAM",8.10110086544158,16.9487671623175,20.5825791964511,21.5851768268254,21.8759175132773,21.9526461004464,21.9197907192011,21.8104377525896,21.6471340539493,21.4525100580941,21.2556875365296,21.0672140303917,20.8902645316157,20.7241757569745,20.5678904018131,20.416000906629,20.2631365293,20.111596270161,19.9608579345947,19.8075081256046,19.6442766429301,19.4700825128088,19.2837741719128,19.0882367855363,18.8858378705663,18.6833530848273,18.4874592921893,18.2987113138548,18.1193383314348,17.9555432020376,17.815378208716,17.7030436420716
"JOR",0.778525158148651,2.84516831366327,6.1325639062423,10.4192316141261,15.6296292555078,21.7475330770031,28.8415183417146,36.4966539827058,45.0143259833855,53.6689088127584,62.5771301726044,70.2294205512675,80.0148369236487,88.9726980209372,100.854580065989,111.828739832951,125.192456005242,138.945669392849,154.806155064673,168.830982359298,184.363318374943,199.449261841867,216.275267043134,229.219011868488,239.36747007129,246.460334056436,259.16206624828,268.358837196423,275.634603330368,283.372766084128,288.383107737158,299.336903461247
"JPN",350.609911592098,393.285055044782,410.781346472816,403.569594693267,402.972517911518,408.633721732193,385.598391540291,379.977192861221,373.730229120063,368.218442902807,361.01366896327,361.535443954393,349.721591193515,348.47205562355,337.739106356199,327.878833153014,326.571852626874,342.16337810345,331.356019959823,321.473031340942,324.375131634768,321.11008623755,330.570819929778,313.678235163635,312.560796015272,320.101639117275,306.526827161591,311.866400362111,304.874605419132,313.744165188531,304.138129892278,319.981482412887
"KAZ",63.479525190796,112.157078961049,131.699979173153,146.449569342663,146.877220289022,156.969396969866,154.706856087034,153.460151734388,155.045935401168,154.848350406704,148.125224220423,145.746759501548,141.902116568674,130.626803508996,118.838379231061,116.927062492486,110.986051678628,104.644984405242,103.479045785236,98.1386968658613,94.775479753104,93.6730273727946,95.691547938502,101.089002830498,108.17631677583,115.562480995307,116.412989806787,126.385545184247,133.637632381085,138.946913662955,148.327147082248,139.223155453688
"KEN",2172.69786674597,7510.08398952489,12623.6191128298,15802.9105966764,17696.9220600692,18733.6361913421,19263.693882911,19824.9589906073,20415.3857853082,20418.5730174251,20517.2321429546,20713.9662797611,20928.5314209363,21164.8314986743,21614.1087563018,21954.8904211607,22355.200979929,22773.5650616795,23640.3754880946,24256.2561949962,24992.8592743734,25838.4690630304,26566.0276786418,27473.1100707838,28517.7598559994,29259.0210643592,30116.5950530827,30677.8127435754,31178.4175308855,31656.0087291821,32326.5725905465,32700.5144615181
"KGZ",15.7153939970595,33.0896785048422,42.4669411814953,44.47127100757,48.4518187312993,48.1292947174136,49.8801188674814,52.1473432278799,52.7414734226707,53.0721890677959,48.98254561136,50.2186748903682,53.8722764965652,50.1677360773861,50.692032709258,49.0690519850769,48.3783042128767,46.7758318434389,45.3932863688622,43.9479853309346,42.7456727906453,42.2982897071459,40.1034774538727,41.3343533720321,42.608343943571,44.3940742592424,46.8967574063944,48.8838774866287,48.377668996452,51.786776589756,54.5599471254875,56.4776987443733
"KHM",581.272037963855,1635.4622048835,2757.69014533026,3611.41043528642,4315.40080372061,4854.54591137813,5181.47913021778,5370.05618906266,5460.43710536477,5398.57617048823,5488.17244526754,5407.35965148617,5379.07584228344,5229.20959837817,5194.17366471584,5167.24661115044,5042.17125432373,5039.32066563103,4944.77268691508,5021.44202061874,4939.71353040784,4910.85310692739,4961.82106306086,5027.3630041954,5129.35023650976,5267.80567770394,5217.93792665158,5447.27645231158,5586.79250883033,5674.97653903902,5759.16931346703,5875.40830432324
"KIR",6.69130122700108,6.49555233813339,6.88216738780615,7.16839547444978,7.29518451123988,7.59471917583284,7.72250729200761,7.96556194264768,8.16584021003197,8.13890836440345,8.41439359400615,8.51789845740883,8.83058114686582,8.76524047476796,8.70908494298957,8.62774354358186,8.50149984282471,8.35818155071198,8.37314013893177,8.40563438040092,8.1210336608069,8.00896749891812,7.91693783665892,7.72652856206024,7.71746670555414,7.62379073607704,7.73724828817251,7.81583689668624,7.88165371890143,7.92219871352178,7.9243108085172,8.10603133940073
"KNA",0.167843096500408,0.342685054327406,0.408179256379746,0.420173340777669,0.419402613449452,0.415370546771108,0.410243768663575,0.402219271335165,0.390533902345268,0.376234166857291,0.361864337862046,0.350001681209963,0.342158861658233,0.337444545032475,0.335269512079343,0.333004750088718,0.328773707465754,0.322723497788398,0.315910234186342,0.308595551021855,0.302445527927522,0.296918552336972,0.292531100621985,0.288968237881809,0.28610420548629,0.282989479801174,0.280284263007187,0.277492333159437,0.273970491237995,0.270223492510063,0.266349108770461,0.315679105601274
