ISO3,WHO_REGION,Country,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
IND,SEARO,India,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61.86393728,69.77374071,76.84528302
IRL,EURO,Ireland,NA,NA,NA,NA,NA,NA,NA,61.08108108,53.95804196,21.81818182,79.5,127.1304348,126.7857143,108.4016393,111.4015444,91.73459716,151.443038,78.69767442,244.32,186,149.5813953,132
IRN,EMRO,Iran,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,146.0487805,112,238.1538462,130.7428571,105.1940299,128.8823529,79.97596154,106.3714286,105.2857143,110.3877551,96.28571429,146.1052632
IRQ,EMRO,Iraq,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89.3592233,84.09090909,86.62509354,98.10265785,150.2093023,32,87.70588235,106.061706,82.34654472,79.49965588,41.55555556,NA
ISL,EURO,Iceland,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,612,NA
ISR,EURO,Israel,NA,NA,NA,NA,NA,NA,NA,NA,133.7142857,NA,402.8571429,173.5813953,304.56,NA,149,264,162.72,144,271,463.9078947,305.1428571,NA
ITA,EURO,Italy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238.9774436,NA,108,228.6454183,253.2784504,272.4388715,260.512219,263.7714286,255.4332875,300.7372014
JAM,AMRO,Jamaica,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.5,NA,NA,84,NA,NA,NA,NA,NA,NA
JOR,EMRO,Jordan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.14634146,NA,NA,NA,NA,117.3333333,95.39823009,240.1666667,NA,NA,NA
JPN,WPRO,Japan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71,190.7773591,182.5909091,199.4482759,176.3181818,283.0909091,308.9361702,220.1751152,327.90625,308.6644737,321.1208791
KAZ,EURO,Kazakhstan,NA,NA,NA,NA,NA,NA,NA,NA,257.42723,238.0471698,214.4827586,194.4,201,NA,NA,245.5,151.706422,NA,NA,277.4907975,NA,NA
KEN,AFRO,Kenya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126.52,130.1098901,117.1637149,110.4992954,119.4871795,81.58610272,114,137.1413043,63.14285714
KGZ,EURO,Kyrgyzstan,NA,NA,NA,NA,NA,NA,216,129,130.8,171.6428571,112.8,106.1538462,104.4,NA,NA,50.68367347,NA,NA,140.1509434,147.0738462,NA,603
KHM,WPRO,Cambodia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.88601036,51.42111302,116.8933333,91.35035461,117.1915423,NA,NA,NA,NA,40.16071429,61.33333333
KIR,WPRO,Kiribati,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KNA,AMRO,Saint Kitts and Nevis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KOR,WPRO,"Korea, South",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.43243243,78,51.4,147.1578947,16.33333333,NA,114.9719626,154.8936652,191.2857143,268.0555556,9
KWT,EMRO,Kuwait,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,150.8965517,203.25,205.2537313,274.9090909,145.9642857,145.3125,74.14285714,NA,44.05555556,157,59.33333333
LAO,WPRO,Laos,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,101.972973,98.49019608,162.2361111,106.0594059,51.30769231,161.2205882,61.47142857,67.55555556,100.5,96
LBN,EMRO,Lebanon,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105.5851393,68.66666667,36,108,288,12,10,90.3853211,133.539823,79.5,61.61538462,152.5714286
LBR,AFRO,Liberia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,83,63.18181818,89.66666667,151.6666667,NA,NA,64.69515012,112.8675,145.4117647
LBY,EMRO,Libya,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,110.4339623,56,206.380805,195.3396226,137.12,182.0126582,95.26582278,67.10778443,83.73563218,47.67857143,NA
LCA,AMRO,Saint Lucia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LKA,SEARO,Sri Lanka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,330.1276596,258
LSO,AFRO,Lesotho,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.5652174,134.2210145,NA,NA,117.5,NA,149,122.2307692,68.5
LTU,EURO,Lithuania,NA,NA,NA,NA,NA,316,287.3142857,306,NA,NA,NA,NA,15,NA,438,437.1428571,252,400.4571429,393.8181818,324.9411765,257.4545455,NA
LUX,EURO,Luxembourg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,172,240,NA,372,NA,NA,336
LVA,EURO,Latvia,NA,NA,NA,NA,NA,NA,NA,NA,NA,330,379.2,NA,321.1666667,NA,NA,NA,244,NA,379.5428571,NA,NA,NA
MAC,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,8.666666667,9,NA,NA,NA
MAR,EMRO,Morocco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.4067797,197.7,18,198.5311828,150.0654628,158.3854167,110.3606557,53.3,30.86666667,24,456
MCO,EURO,Monaco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDA,EURO,Moldova,84,84,134,104,91.5,105,145.4181818,NA,300,91.2,235.826087,171.4285714,NA,NA,NA,NA,113.4545455,128,54,NA,NA,NA
MDG,AFRO,Madagascar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,138,29.66666667,75.33333333,228.5,31.5,86
MDV,SEARO,Maldives,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MEX,AMRO,Mexico,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MHL,WPRO,Marshall Islands,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MKD,EURO,Macedonia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,127.5789474,NA,144.2236025,218.6530612,228,188,268.1311475,144,NA,NA
MLI,AFRO,Mali,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98.99618718,89.53733956,146.5833333,121.7689873,94.20707071,123.9087591,122.1090047,138.3563218,53
MLT,EURO,Malta,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,NA,88,510,NA,294,NA,516,NA,264,NA,NA
MMR,SEARO,Burma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,121.6666667,130.9797571,156.9563567
MNE,EURO,Montenegro,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,NA,NA,294.8571429,213.4,NA,NA
MNG,WPRO,Mongolia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.95,NA,44,28.85714286,NA,NA,NA,NA,126.2074303,135.0251819,10
MOZ,AFRO,Mozambique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.4848485,115.4235463,116.95,61.56,23.5,38.875,42.8,53.46666667,43.22222222
MRT,AFRO,Mauritania,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210.7,173.1580952,185.9461538,10,319,131.0714286,384,64.84615385,NA
MSR,AMRO,Montserrat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MWI,AFRO,Malawi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.78723404,122.8132543,139.0952381,89.125,11,57,179,NA,NA
MYS,WPRO,Malaysia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,158.2384937,264.3333333,159.3333333,99.6147541,93.64788732,97.15819209,97.02336449,91.06528418,100.961319,111.625731
NAM,AFRO,Namibia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178.0609756,132.7512581,119.4675325,113.3294118,139.7325103,135.4494876,92.14814815,264,NA
NCL,#N/A,#N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NER,AFRO,Niger,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95.86894075,53.88932806,128.0381558,108.7631579,114.3882353,100.3601695,87.11952191,101.7067669,89.5210084
NGA,AFRO,Nigeria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.77813505,39.90633496,43.9993892,182.2655192,36.35703389,61.66016122,40.17536606,45.76141488,50.57142857
NIC,AMRO,Nicaragua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NIU,WPRO,Niue,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NLD,EURO,Netherlands,NA,NA,NA,NA,NA,NA,NA,162,222,184,384,354.25,163,243.0714286,250,255.6,295.2,129.7545455,238.5,428.5714286,294,NA
NOR,EURO,Norway,NA,NA,NA,NA,NA,121.75,NA,153,73.71428571,NA,NA,72,268,355.5,273,115.3846154,369,129,92,248.5714286,NA,NA
NPL,SEARO,Nepal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91.5,72.40336134,88.42105263
NRU,WPRO,Nauru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZL,WPRO,New Zealand,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2857143,92.93162393,157.7878788,135.5438596,81.44444444,315.3333333,174.2965779,232.6666667,165.2912621,259.9
OMN,EMRO,Oman,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,42.35294118,48,203.8823529,203.3333333,37.75,94,NA,NA,NA,NA,NA
PAK,EMRO,Pakistan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124.9090909,58.875,45,39.06666667,74.832,50.84673267,45.43020768,51.32833718,42.90957447,31.56,37.73820059,35.97047497
PAN,AMRO,Panama,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,208.25,NA,NA,NA,NA,NA,NA
PER,AMRO,Peru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,240,NA,NA
PHL,WPRO,Philippines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,75.84814815,90.39010989,110.4500649,112.685259,120.3729383,162.5857988,103.7125431,121.9437524,140.1540698,88.37837838,32.72727273
PLW,WPRO,Palau,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PNG,AFRO,Papua New Guinea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,29.44444444,93.52941176,141.3061224,NA,NA
POL,EURO,Poland,NA,NA,NA,NA,NA,NA,156.8,93.39130435,217.5,24,266.9333333,227.2542373,187.8470588,163.5170068,96.33333333,348,213.9622642,284.0655738,201.7864078,275.6363636,90.94736842,189.3333333
PRK,SEARO,"Korea, North",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PRT,EURO,Portugal,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,NA,NA,71,194,348.5,180,266,324,NA,NA,NA,136
PRY,AMRO,Paraguay,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PSE,EMRO,occupied Palestinian territory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,210,NA,NA,NA,NA,NA,NA,318.3333333
QAT,EMRO,Qatar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.8181818,98.44067797,224.3333333,408,187.862069,122.6666667,154.9390244,120.2794118,170.1333333,217.2,115.3666667,NA
