"","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"Burma",7.28552165662551,7.79965749170989,8.31940937322969,8.86740856101099,9.47177173054,10.1412009034795,10.8075659078654,11.5129654988521,12.2379487224284,12.9418980543261,13.5987038494624,14.0823731561297,14.5092949487449,15.645871816014,16.5636540312361,17.1133607159128,17.5800041843073,18.0293333277502,19.7112126162682,20.2133000363477,20.7943147625059,21.3950542730498,21.9475965773789,23.8737252210116,24.3718323683493,24.8745077481902,25.3178400220951,25.74788454087
"Burundi",6.78020500001413,7.13306786666109,7.38615203018425,7.54557911731469,7.28401866972211,7.28636477382195,7.6710692882242,7.96316981697356,8.09218605544597,8.18286319350299,8.35565059273708,8.51456473179688,8.54454827909671,10.7971115510581,10.1385130610656,9.86026321485635,9.940189237967,13.7279122310978,12.7394384518534,12.1797218836546,14.0729520064236,15.7883082875077,15.9377303343891,16.2457251429242,15.7282176672729,15.3298814001395,14.9781712281541,14.6984562614533
"Cabo Verde",8.00452634512786,8.36489656424034,8.76484240631205,9.28404777817379,9.82047739310975,10.2225590810654,10.6825296054104,11.047348614848,10.7002226485773,9.79415358905259,9.0960773164168,8.87213352201201,8.87563846402618,9.02348455430686,9.27549562380836,9.60489829524922,10.7818529583184,11.0658607793214,11.4123767633077,11.7816099893005,12.1662000936887,12.4722357882737,12.6708826702293,12.7919459555798,13.3969530256269,13.2320029446064,13.0568764934958,12.9609316054515
"Cambodia",6.12702427223451,6.17180244814824,6.38119440986714,6.52367250253974,6.77878664278552,7.0596955488806,7.66296848846004,8.08106839637726,8.45671375983541,8.89043950836324,9.34319162192778,10.9185251126461,15.0365548142324,15.8879120661359,16.9971928811811,15.6887308098389,15.6610968992985,14.3749444563444,18.6606419406163,17.4473465665692,17.0317695789876,16.7277034065891,19.8493630307753,19.0402810626929,19.6533928687548,18.7037073059149,17.9261224892948,17.3249634211072
"Cameroon",6.58215034332796,6.63528192072146,6.54544809825807,6.34331258469821,6.18061121176224,6.17216857710675,6.28752906826861,6.42046291617027,6.61324775853992,6.81626906410237,7.02054996816061,7.20994360223156,11.4987881654245,11.4444872998635,9.42416442835752,8.49714808841817,8.15963791135397,13.774613303079,13.9544219693518,12.2129167547095,14.2525758074495,14.8896485024639,15.5030758497738,15.8110910346497,14.3555980866723,13.3541351118074,12.5628748726773,11.9924567457315
"Canada",9.29117935734429,10.0030013794373,10.7232115436644,11.4172140834773,12.0809009980488,12.7247550568404,13.4200158964093,14.0957191570265,14.763776425012,15.4256514308071,16.0833378572958,16.7174453570379,17.3471683451939,17.9745112479611,18.5819941159647,19.1696377236846,19.7155921540764,20.2601011232025,20.8218436012989,21.3995782482239,21.9737478833106,22.5541790640226,23.1217272875087,23.6782675962999,24.2302616657739,24.7749769457117,25.2943586355546,25.8062399629704
"Central African Republic",6.80451557781626,7.16847045116472,6.94773509106582,6.58926716353343,6.4543888439831,6.32131491099344,6.20818392067611,6.16587171355611,6.16976002321361,6.22955090662509,6.33781319299908,6.39564843120924,6.40010803557082,6.48921730156067,6.68998765895234,6.97420473064013,9.81240176357093,11.0899669336372,8.81779945865653,11.9129239379589,9.25350251941193,7.8088558782284,9.78838288700387,7.68276393733756,11.3327825336211,7.84585441375507,6.42510143592671,5.78227216105075
"Chad",5.61368671512942,5.65551990536906,5.58708611935546,5.41597059886429,5.17809606405796,5.05373186218626,4.76489129956007,4.47791764178215,4.15316950689509,3.94656407793743,3.85146000588944,3.82289035762055,3.81219105256174,3.80937175276923,3.78440658771686,3.83569723667559,4.07593222976964,3.88210282142818,2.54171679143164,4.19644117887583,4.84984374971492,3.52309317325785,6.00425553881415,6.0599352577333,4.55710971999142,4.12854756952357,4.06685771233419,4.1884875391522
"Chile",12.5291972143052,12.8848025641599,13.0395645341097,13.2138781832201,13.5867519762294,13.9870593022058,14.3684025879435,14.7638929074137,15.2175570069702,15.6481207996138,16.0854591178349,16.5715388718353,17.9779377269765,18.4020702396365,18.8029904171961,19.0796863862768,19.3601795920372,19.6585933187919,19.1951483992033,19.5989988845522,19.964345283578,20.2916013621357,20.5552818758851,20.8100096397472,21.0807668505174,21.3671334727298,21.5968501773896,21.8353338955499
"China",10.7043620403155,11.3489827781982,11.7690871050112,11.9487644719561,11.934737510763,11.9920045881306,12.1438875802796,12.3596349291464,12.5694885670139,12.8110478145173,13.0885219078047,13.1930196960941,13.3106461453061,13.4203386611155,18.9845834747223,19.2518266840923,18.6404410294911,18.3701551198527,19.136541335892,18.9813223396638,19.1306742831256,18.6791295976842,18.0036217903034,17.4502417481741,17.0062323473468,16.6199765192015,16.4300834355367,16.3014021972996
"Colombia",8.82621863166781,9.16956332258022,9.32619589749869,9.69642139986502,10.0515416204588,10.3762298800463,10.9026080267782,11.154945299313,11.2553998620532,11.4092223669307,11.7606368882564,12.2782722481768,12.8726264908784,14.7300048480078,15.5170678696583,16.0618304188674,10.7875553995802,11.2330116489373,11.6951712063653,12.0711017568142,12.3229211759147,13.0872549454127,13.2640427467248,13.6834364563251,14.0714073114704,14.4601989813134,14.794324005358,15.1349201599128
"Comoros",7.64443457091973,6.75960454972408,5.52155571099751,4.99293188043959,4.78423751291111,4.82349217290912,5.01288463660791,5.16609561831203,5.54123197998262,6.03870605797389,6.54379446974182,7.04605818571239,7.54544905845461,8.01072632155116,10.4240618271037,10.5912480774543,11.2517444227581,8.34623644332049,10.0804422891438,8.74247753864518,7.91548401556839,8.88720509288382,8.76600279199564,8.63941044112849,9.00717177132647,8.9290318394671,8.91668398988159,8.97686424249811
"Congo, Democratic Republic of the",6.06594025572097,5.91682950822023,5.87410067504375,6.02901978843619,6.30180375396895,6.55849717634659,6.77401057758551,6.99428972272773,7.24044145952426,7.48730189504128,7.86882185130175,9.86791830106165,9.9846449674025,14.9112735337295,16.403521149697,16.1400267645242,16.2915931923098,18.1679947083353,18.4050956756752,19.1688545316885,19.2057956634843,20.0440729419301,20.3715903374905,20.7299906863159,21.0693289550963,19.044795154295,17.5060792940247,16.3464423665492
"Congo, Republic of the",8.18309850911482,8.1644255935884,8.07027807764153,7.99784710202468,7.91539121641757,7.81115366737667,7.75961631156536,7.66471262498592,7.57572675936694,7.62308241824493,7.80848772031715,8.07567448253067,8.3729066595836,8.75347882347631,9.2658882547375,12.3717746566055,12.1955994207299,12.1482246757132,15.4334915463313,15.0613066465218,14.8930510464658,16.1252221795829,17.7731411036492,17.1036812412109,18.6111033551143,17.8686719244639,17.2908787952681,16.8332564821073
"Costa Rica",10.4698454440921,10.908652710628,11.2169030872869,11.0775371589765,10.6709326415014,10.3875887871478,10.3234011391973,10.4967095709766,10.6718195955771,10.7575116802787,10.8798560055348,10.991110266709,7.0999841391834,8.0180417222925,8.47799187312732,8.95808869968654,9.39869780441439,9.86490154285112,10.3241016645909,10.6487278863995,10.9132437700776,11.250253124188,11.7139121476853,12.2927926405979,12.8828631446534,13.4706238254303,14.0246014285953,14.5719597444717
"Cote d'Ivoire",6.32071852656206,6.62688025286095,6.93615904582705,7.23104862073258,7.55279193055255,7.91678433081955,8.33491915383107,8.81441266824212,9.28503254019499,9.665380750393,10.0648580387993,10.5582913573457,11.0525746795568,11.5200312575394,15.0790512445008,15.1939045840731,15.6022541910411,15.3771773762336,15.0742284569646,17.9408613742002,17.4026726815633,16.6678303163057,19.7654412583314,19.2629666096193,18.8474782364572,18.5081276094627,18.2092875155441,17.9702259700299
"Croatia",7.11764825867968,7.18578732852718,7.68883208501083,8.500707543415,9.292732963698,10.1948223650697,10.9008539207101,11.5119416820934,12.0605973047962,12.4634412857966,12.7816979073891,13.2784795452125,13.8525717084044,14.4623158393766,15.0747762694042,15.6794316057846,16.0727520829882,16.4792854985511,16.8955358579607,17.3085494326564,17.7167932249395,18.2111272915718,18.7065993335258,19.1785652201881,19.635086918071,20.101318721463,20.5326931740661,20.9338671020171
"Cuba",12.3930358413324,12.9253248116986,13.4838027204244,14.0430597351143,14.6063224319451,15.1780259352577,15.7008680733103,16.2186041419939,16.7320001228444,17.2432039321455,17.7348466549501,18.2909498861275,18.8620835266477,19.4256657338112,19.9837150988924,20.5420695420088,21.1295823571258,21.7081327927104,22.7566529939436,23.2267517595144,23.7498072135628,24.1988654136623,24.6866092082117,25.1545026745141,25.6024556048499,25.9680698941614,26.3540643904544,26.7701259944731
"Cyprus",9.16181965546746,9.2639782285728,9.77136930504068,9.53560609914367,8.84481470305227,8.27995629767921,8.50553015716095,4.35180449932779,2.83760443506826,2.61284492070152,2.74025043579023,3.02195344774872,3.39722159087317,3.82283479129677,4.27990352022605,4.75967853505169,5.195253304379,5.63353555289465,6.07416884358804,6.50042582367638,6.91931797172641,6.86230442063296,6.56612049705124,6.45182978214618,0.357809015262478,0.622934353828155,1.07630850343155,1.55882827660498
