"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32"
"CHE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CHN",28712.7912205381,25768.7014366547,22508.6579795291,24241.3654231475,17021.0090636561,10592.8193732584,7063.70783905835,5856.25888872811,5291.43678326191,5117.87232553495,6225.63310018523,6942.75081300778,6518.71114264164,5439.84006719885,4537.47759555452,4610.16883334459,4883.45582203946,4239.85883977813,4301.36886042622,4530.81268489844,4753.2141541076,3886.86085527807,4057.22107813546,4046.65846247797,4497.0008125061,3883.17201259709,4089.22646880304,4766.22479291221,3416.44457092398,2217.67680594955,2016.26522425278,1858.44804622659
"CIV",15392.8209203591,13662.0720631069,8040.4049546437,6741.24701386066,8801.86885828828,22099.1007966207,28639.0843123351,14757.6910596599,16028.911687571,15358.5656449987,9642.82221899869,13340.2429146114,8025.11677668611,17356.241043372,29411.9026386949,17497.6406930421,9645.00358095818,9634.64940326331,5411.16139362522,5542.47106723804,5569.98339176074,5633.03178851472,4965.83643591564,4142.56655634543,2323.04704890206,2199.82998473402,2342.10520315318,2110.96583255551,2348.51756505094,2456.42017043314,2448.72520823862,2240.0453815358
"CMR",NA,18130.9785630821,24495.6779064372,15612.3496479405,19481.5793008234,13180.4649392301,7825.99049873601,10092.5423555887,10429.2156089722,9229.45410750583,6985.21695748722,11795.0733478134,6192.68482967505,3059.30188619372,2685.22235612174,5880.28804815674,4516.41819469674,5436.56955958434,5553.4152630408,6847.2212972638,10375.0394822408,2334.92715639518,2150.09600851821,1697.59622015984,1781.5439083544,1423.14542820907,1396.59020963619,1608.36697856898,1421.88299191761,1487.16614432768,1525.48946592699,1525.2509695
"COD",69309.1547722135,133218.715738414,166487.473794536,162763.199662823,172554.04780163,174887.513796774,167901.787109762,162034.634842718,156847.922519469,145751.671403006,163052.650230774,142021.171422243,137359.506277487,147115.778760123,143780.951189267,148541.044121391,146364.797156235,157815.378406237,159145.909945475,149976.961448857,147018.525672434,172361.10147419,129624.006525406,172440.142491424,58250.0762213696,29261.036454229,25508.0577333709,41747.6374927277,48918.5101680646,54653.1989496878,59576.871436203,24756.3028327828
"COG",5333.56297714147,8054.92948850509,8890.08779512335,9539.88516443723,5188.75658388368,4638.38645938635,2468.52169497688,2110.59637095223,2123.90636616868,3172.93434147127,3289.25541287294,3284.7682769353,2220.69600816508,2038.78704433987,3092.27843842416,3673.67086685587,2808.28262456546,2425.85774303357,2416.0558342773,2814.32313720796,3000.18596150086,3215.34397782144,3510.41417806815,3455.42663265622,1403.91593278328,2171.4049428387,2352.68657875028,987.164819999576,1709.65243981789,2000.35993066721,1231.47605690296,1525.47116570273
"COK",7.63565825411388,13.158513176246,13.7941167273786,17.471233392577,18.7265609050207,19.7142109380504,17.6949231613359,18.4091673250328,21.4587224202486,17.9779142124642,16.3921499200991,15.7855748335202,15.7030591913928,15.78168061421,15.9434928919997,16.4035435152227,17.1912963401473,17.7056895323093,4.4526173068557,8.4062990507493,11.8333495431509,14.690489094427,17.8346911146248,19.7127168235213,21.8378539116752,23.5428890106869,4.80249563507038,8.19186962095446,11.5150118032939,14.5013565493452,17.1109930561062,19.8675431075859
"COL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CPV",101.435671870215,512.836483902715,558.965702223208,69.5594562490714,102.591372679134,353.448701317506,204.686870573175,45.1610707708042,31.3790588915066,30.7997432890696,32.9422555630184,30.6795940216342,29.1714635401113,37.5564622891239,32.6535120098157,28.7341648487862,337.780671028105,120.732514608263,36.3767433774917,30.7562004696933,28.9423525434325,27.514994107038,27.4469988967709,27.3876797419824,27.5656582343951,36.4608465394537,30.1403406358894,29.0129640527183,28.905784023664,38.8354174998611,46.5241439003906,52.8934985276673
