,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CIV,8265549,8630174,9004637,9386245,9771533,10158033,10543628,10928719,11316361,11711125,12115806,12530078,12950995,13375363,13798862,14217430,14632391,15042149,15436470,15802248,16131332,16420173,16674987,16909801,17144325,17393994,17662417,17949061,18260044,18601342,18976588,19389954,19839750
CMR,8932121,9201146,9480638,9770555,10070779,10381098,10701458,11031515,11370394,11716975,12070359,12430339,12796831,13169247,13546948,13929575,14316949,14709426,15107909,15513653,15927713,16350440,16782044,17223277,17674960,18137734,18611937,19097676,19595026,20103945,20624343,21156272,21699631
COD,26357407,27060353,27767775,28490510,29243529,30039873,30871855,31740965,32679158,33727905,34910591,36253025,37731020,39257294,40711816,42012524,43122601,44078397,44960941,45889100,46949244,48167045,49516960,50972323,52487293,54028003,55590838,57187942,58819038,60486276,62191161,63931512,65705093
COG,1796412,1849970,1905411,1962375,2020333,2078914,2138090,2198025,2258785,2320488,2383283,2447020,2511819,2578424,2647817,2720633,2797572,2878333,2961357,3044444,3126204,3205636,3283719,3363418,3448868,3542867,3646653,3758858,3876475,3995146,4111715,4225359,4337051
COK,17627,17441,17429,17531,17652,17725,17726,17678,17613,17580,17614,17730,17909,18105,18252,18307,18246,18095,17919,17808,17830,18007,18311,18693,19075,19402,19659,19861,20019,20156,20288,20417.88565,20417.88565
COL,26934591,27550172,28173493,28803276,29438030,30076525,30718127,31362479,32009024,32657292,33306941,33957286,34608171,35260456,35915434,36573895,37236124,37901358,38568056,39234115,39897984,40558648,41216304,41872051,42527623,43184026,43841370,44498390,45153037,45802561,46444798,47078792,47704427
COM,313598,323998,333998,343708,353345,363068,372895,382771,392705,402707,412790,422969,433286,443820,454665,465895,477548,489627,502128,515028,528312,541976,556028,570491,585389,600733,616526,632736,649291,666097,683081,700216,717503
CPV,301591,304432,310092,317457,324815,330966,335517,338984,342157,346209,351960,359642,368873,379100,389504,399477,408790,417562,425932,434168,442426,450812,459140,466939,473577,478651,481940,483713,484651,485714,487601,490556,494401
CRI,2348427,2414832,2483355,2553714,2625561,2698616,2772823,2848141,2924348,3001196,3078551,3155979,3233568,3312307,3393575,3478197,3566605,3658020,3750585,3841734,3929588,4013488,4093840,4171145,4246336,4320130,4392493,4463226,4532711,4601424,4669685,4737680,4805295
CUB,9835085,9886228,9930589,9975082,10028578,10097020,10183690,10285920,10396268,10503898,10600841,10684831,10757891,10821551,10878823,10932013,10980758,11024249,11063917,11101580,11138416,11175465,11212125,11245926,11273363,11292078,11301100,11301674,11296355,11288826,11281768,11276053,11270957
CYP,685406,689173,691711,694074,697717,703693,712340,723380,736477,751047,766611,783138,800660,818814,837166,855389,873246,890733,908040,925491,943287,961481,979877,998142,1015820,1032586,1048314,1063095,1077089,1090553,1103685,1116513,1128994
CZE,10313309,10335336,10343169,10340974,10335037,10330080,10327002,10324764,10323823,10324261,10325976,10329999,10336249,10342095,10343892,10339223,10327823,10311228,10291153,10270096,10250398,10231435,10214070,10203846,10207862,10230683,10274906,10337782,10411836,10486434,10553701,10611037,10660051
DEU,79169102,79039058,78921748,78840983,78825702,78896434,79056109,79298570,79622101,80021509,80487159,81026476,81625161,82225174,82750431,83147770,83388930,83490697,83500716,83490881,83512459,83583461,83685160,83788480,83848844,83835978,83740302,83578794,83379538,83182774,83017404,82892904,82800121
DJI,359247,375041,385184,393443,405229,424227,451942,486555,524393,560124,589924,612589,629373,641900,652793,663999,675891,687897,699922,711652,722887,733732,744434,755085,765776,776585,787544,798690,810100,821865,834036,846646,859652
DMA,75312,75374,75166,74747,74212,73637,73022,72365,71740,71240,70926,70842,70962,71181,71350,71364,71184,70846,70419,70003,69672,69447,69301,69200,69087,68925,68700,68434,68159,67922,67757,67688.6446,67688.6446
DNK,5123435,5124807,5122810,5118966,5115308,5113408,5113767,5116351,5121511,5129472,5140332,5154309,5171304,5190631,5211321,5232582,5254383,5276683,5298680,5319410,5338283,5354684,5368994,5382853,5398558,5417692,5440923,5467551,5496104,5524427,5550959,5575237,5597760
DOM,5825715,5962066,6100385,6240380,6381602,6523696,6666429,6809797,6953918,7099011,7245127,7392389,7540421,7688196,7834359,7977966,8118570,8256496,8392534,8527881,8663421,8799298,8935261,9071318,9207389,9343362,9479269,9615015,9750195,9884265,10016797,10147598,10276621
DZA,19475204,20103931,20766568,21453278,22150483,22847437,23539383,24225748,24904931,25576596,26239708,26893663,27535151,28157560,28752749,29315463,29845208,30345466,30820435,31276295,31719449,32150198,32572977,33003442,33461345,33960903,34507214,35097043,35725377,36383302,37062820,37762962,38481705
ECU,7909432,8113200,8319351,8528791,8742761,8962049,9186995,9417031,9650906,9886866,10123593,10360630,10598168,10836327,11075454,11315800,11557151,11799289,12042454,12286995,12533087,12780869,13030041,13279806,13529091,13777131,14023503,14268397,14512402,14756424,15001072,15246481,15492264
EGY,44931971,45945655,46991385,48071851,49190419,50346551,51545011,52776850,54011214,55207254,56336614,57387589,58370712,59307778,60231864,61168397,62123592,63094069,64084443,65097777,66136590,67204189,68302914,69432477,70591288,71777678,72990754,74229577,75491922,76775023,78075705,79392466,80721874
ERI,2414647,2493745,2573931,2656189,2742004,2831894,2928032,3028719,3126100,3209606,3272563,3311719,3331918,3344626,3365933,3407812,3473399,3560353,3668350,3795384,3939348,4101609,4281576,4472533,4665522,4854066,5035036,5209846,5382163,5557889,5741159,5932852,6130922
ESP,37493383,37755072,37981290,38173761,38336018,38471834,38581599,38667885,38739679,38808408,38883045,38972944,39079959,39196948,39312212,39420568,39513721,39603778,39729942,39944692,40282828,40756675,41346738,42015864,42710301,43387477,44038456,44664067,45243381,45754265,46182038,46514117,46754541
EST,1474487,1483938,1492704,1501490,1511272,1522477,1536023,1551000,1563826,1569664,1565320,1549232,1523160,1491338,1459829,1433076,1412522,1397071,1385531,1375744,1366117,1356549,1347674,1339453,1331928,1325112,1318893,1313138,1307827,1302965,1298533,1294498,1290778
ETH,35241209,36094424,37110033,38259330,39493610,40777189,42100969,43477401,44916621,46435325,48042755,49743883,51525658,53357867,55199953,57023519,58815116,60584273,62353942,64158887,66024199,67956866,69948344,71989666,74066147,76167240,78290649,80440708,82621190,84838032,87095281,89393063,91728849
FIN,4779454,4800899,4826135,4853196,4879222,4902219,4921293,4937259,4951886,4967776,4986705,5009381,5034898,5061465,5086499,5108176,5126021,5140755,5153229,5164780,5176482,5188330,5200259,5213213,5228340,5246368,5267817,5292261,5318297,5343927,5367693,5389084,5408466
FJI,635256,650966,668219,685422,700394,711663,718493,721594,722707,724355,728339,735209,744340,754923,765664,775587,784647,793098,800616,806857,811647,814700,816237,817224,818995,822484,828060,835392,843851,852479,860559,867921,874742
FRA,53941252,54203142,54491212,54797571,55108738,55414446,55714349,56011191,56301235,56580292,56845705,57098001,57339096,57569991,57792298,58008958,58216225,58418324,58635564,58894671,59213096,59600714,60047743,60527640,61002537,61444972,61845239,62210877,62552614,62888318,63230866,63582112,63936575
FSM,72967,75462,78057,80678,83242,85689,87948,90024,92020,94091,96331,98800,101412,103937,106057,107556,108342,108506,108236,107808,107430,107170,106983,106816,106575,106198,105686,105097,104498,103983,103619,103424,103395
GAB,726454,744624,763639,783527,804319,826025,848654,872158,896429,921314,946703,972539,998823,1025559,1052772,1080477,1108698,1137412,1166525,1195919,1225527,1255299,1285318,1315820,1347125,1379465,1412907,1447388,1482843,1519155,1556222,1594034,1632572
GBR,56302877,56317411,56341201,56379241,56436696,56516860,56623133,56754312,56903133,57059077,57214478,57367467,57520270,57674335,57832501,57997197,58168519,58346633,58534306,58735006,58951444,59183774,59431937,59697954,59984118,60291414,60620907,60970360,61333257,61700797,62066350,62426923,62783115
GEO,5073241,5111792,5151850,5194091,5239352,5287328,5340061,5394998,5441772,5466610,5460309,5418449,5345625,5252851,5156080,5067143,4990097,4922489,4861848,4803312,4743591,4682290,4621837,4564938,4515280,4475306,4446032,4426077,4412502,4401093,4388674,4374226,4358242
GHA,10802497,11118132,11488683,11895742,12311805,12716887,13104616,13480997,13853171,14233006,14628693,15043053,15471695,15907265,16339278,16760926,17169151,17568461,17968830,18384302,18825034,19293392,19786307,20301686,20835514,21384034,21947779,22525659,23110139,23691533,24262901,24820706,25366462
GIN,4495479,4573076,4673637,4793275,4925668,5067026,5211764,5363069,5535918,5750861,6020113,6351760,6734242,7136110,7514053,7837173,8094751,8296478,8457221,8600911,8746128,8895353,9045748,9204581,9379621,9576331,9798963,10046967,10314678,10593248,10876033,11161530,11451273
GMB,604371,625413,648202,673230,701097,732092,766598,804134,843060,881146,916811,949479,979666,1008242,1036580,1065746,1095930,1126986,1159271,1193143,1228863,1266691,1306667,1348548,1391934,1436549,1482324,1529406,1577984,1628332,1680640,1734966,1791225
GNB,818280,832141,849298,868908,889592,910336,930962,951816,973017,994816,1017385,1040717,1064691,1089235,1114249,1139667,1165465,1191672,1218336,1245530,1273312,1301748,1330849,1360559,1390791,1421515,1452659,1484337,1516920,1550905,1586624,1624228,1663558
GNQ,220589,232708,250776,272313,293825,312772,328255,340942,351776,362355,373851,386418,399625,413387,427503,441829,456389,471288,486542,502169,518179,534592,551399,568552,585983,603648,621517,639618,658025,676851,696167,715996,736296
GRC,9642504,9728220,9795461,9848045,9892518,9934292,9972624,10007304,10045020,10094241,10160501,10246749,10349998,10462357,10572479,10671809,10758368,10833632,10896763,10947724,10986883,11012931,11026358,11031728,11035302,11041642,11052514,11066884,11083063,11098149,11109999,11118556,11124639
GRD,89004,90575,93091,95981,98440,99907,100146,99381,98063,96871,96286,96455,97201,98302,99403,100253,100796,101125,101302,101441,101620,101849,102099,102369,102655,102951,103260,103586,103932,104296,104677,105074,105483
GTM,7001101,7176504,7357730,7543343,7731210,7919874,8108903,8299070,8491594,8688240,8890329,9098613,9312915,9532550,9756398,9983861,10214623,10449636,10691090,10941913,11204183,11478984,11765738,12062835,12367800,12678919,12995374,13317931,13648307,13988988,14341576,14706578,15082831
GUY,776927,775662,771596,765512,758580,751720,745133,738779,733057,728382,725043,723259,723008,724014,725839,728136,730865,734059,737526,741046,744471,747657,750629,753612,756939,760834,765367,770407,775739,781055,786126,790882,795369
HND,3635862,3750850,3868314,3988404,4111424,4237518,4366493,4497954,4631575,4766961,4903694,5041781,5180884,5319841,5457189,5591935,5723639,5852719,5980152,6107385,6235561,6365040,6495801,6628171,6762426,6898825,7037428,7178436,7322368,7469844,7621204,7776669,7935846
HRV,4400788,4429852,4459601,4491725,4528523,4571047,4620542,4674802,4727212,4768880,4793521,4799066,4787634,4762425,4728549,4690192,4647843,4601596,4554877,4511766,4475201,4446789,4426098,4411370,4399706,4388857,4378601,4369337,4360126,4349930,4338027,4323822,4307422
HTI,5691941,5821974,5958870,6100718,6244898,6389424,6533556,6677487,6821300,6965413,7110116,7255042,7399862,7544982,7691001,7838241,7986858,8136372,8285690,8433339,8578234,8720247,8859635,8996229,9129933,9260879,9388642,9513714,9638255,9765153,9896400,10032864,10173775
HUN,10759022,10750270,10719749,10673963,10622559,10572975,10526561,10482364,10442721,10409854,10385061,10370223,10364661,10363797,10361134,10351994,10334876,10311227,10282937,10253110,10224113,10196130,10168591,10142243,10117872,10095964,10077017,10060786,10046058,10031096,10014633,9996227,9976195
IDN,145494452,148872395,152280731,155698247,159097735,162458871,165772077,169039084,172265107,175460614,178633239,181786329,184916848,188019278,191085673,194112556,197097887,200050444,202990922,205946831,208938698,211970371,215038285,218145617,221293797,224480901,227709821,230972808,234243489,237486894,240676485,243801639,246864191
IND,698965575,715105168,731443752,747986284,764749394,781736502,798941802,816328792,833833510,851374699,868890700,886348712,903749636,921107534,938452550,955804355,973147577,990460131,1007746556,1025014711,1042261758,1059500888,1076705723,1093786762,1110626108,1127143548,1143289350,1159095250,1174662334,1190138069,1205624648,1221156319,1236686732
IRL,3417754,3452545,3482030,3505673,3523018,3534064,3538482,3537209,3533146,3530154,3531185,3537591,3549266,3565915,3586646,3610918,3638411,3669799,3706616,3750879,3803741,3865839,3935875,4010652,4085790,4158002,4226104,4290537,4351657,4410422,4467561,4522844,4575890
IRN,38889520,40440041,42100410,43852710,45672219,47531740,49440637,51377914,53250434,54938264,56361868,57472293,58307457,58982430,59663107,60468352,61440887,62542531,63713397,64858754,65911052,66857624,67727274,68543171,69342126,70152384,70976584,71809219,72660887,73542954,74462314,75424285,76424443
IRQ,13653358,14045450,14435914,14822565,15202850,15576396,15941197,16301879,16672907,17073500,17517521,18009865,18547047,19123947,19731733,20363138,21017108,21693597,22387179,23091408,23801156,24516842,25238267,25959531,26673536,27377045,28064095,28740630,29429829,30163199,30962380,31837015,32778030
ISL,228127,230525,233121,235860,238647,241411,244145,246867,249563,252219,254830,257387,259895,262383,264893,267454,270089,272798,275568,278376,281214,284056,286929,289925,293170,296745,300693,304957,309394,313804,318042,322052,325867
ISR,3744667,3815270,3883547,3950241,4016229,4082781,4148764,4215756,4290860,4383341,4499161,4641600,4806983,4985652,5163901,5331622,5486219,5630066,5764197,5891263,6013711,6129590,6238958,6348782,6468354,6603677,6758761,6930068,7106828,7273804,7420368,7542327,7643905
ITA,56220606,56375576,56509694,56621592,56709123,56771711,56808503,56823006,56824307,56824373,56831853,56855481,56894444,56936675,56964257,56967071,56937309,56887127,56850303,56872736,56986085,57200233,57501450,57868021,58267068,58671855,59078271,59485505,59873820,60220314,60508978,60729316,60884593
JAM,2132281,2164508,2200299,2236806,2270037,2297237,2317337,2331538,2342132,2352519,2365211,2380807,2398663,2418542,2439839,2462051,2485230,2509439,2534127,2558579,2582219,2604946,2626716,2647116,2665680,2682149,2696227,2708152,2718862,2729660,2741485,2754669,2768941
JOR,2280670,2365665,2462968,2568582,2676515,2782885,2884065,2982349,3086664,3209466,3358453,3538411,3743129,3955939,4153717,4320158,4450852,4551911,4630762,4699278,4767476,4835108,4902974,4983508,5092185,5239417,5428896,5655856,5911202,6181307,6454554,6731151,7009444
JPN,115912104,116821569,117708919,118552097,119318921,119988663,120551455,121021830,121432942,121831143,122249285,122702527,123180357,123658854,124101546,124483305,124794906,125048712,125266855,125481436,125714674,125973930,126249090,126523597,126772899,126978754,127136020,127248855,127319434,127352872,127352833,127319206,127249704
KAZ,14518924,14683789,14853993,15030495,15214051,15403006,15600928,15801753,15982510,16112868,16171900,16154660,16070184,15929712,15750801,15549632,15326132,15085965,14858241,14679568,14575644,14559255,14623188,14747754,14902452,15064088,15227211,15396045,15568294,15743552,15921127,16097998,16271201
KEN,16267906,16901167,17559844,18241424,18942464,19660018,20392312,21138372,21896890,22666720,23446439,24237056,25036941,25839132,26634659,27418077,28186224,28943647,29702246,30478597,31285050,32126351,33000524,33905011,34834606,35785718,36757498,37752304,38773277,39824734,40909194,42027891,43178141
KGZ,3627499,3700312,3775764,3853514,3933002,4013498,4095873,4179484,4260325,4333114,4394502,4441582,4476402,4506563,4542747,4592135,4658815,4739263,4823870,4898865,4954850,4988162,5003394,5009453,5019310,5042381,5081620,5134297,5197274,5265218,5334223,5403419,5474213
KHM,6699273,6761653,6943097,7207649,7499331,7777235,8030211,8271042,8510817,8768664,9057339,9378185,9721775,10077404,10430268,10769198,11090611,11395958,11685332,11960467,12222871,12472586,12709336,12934369,13149386,13356424,13555054,13747288,13940518,14144225,14364931,14605862,14864646
KIR,54510,55908,57352,58860,60455,62145,63950,65841,67729,69490,71040,72343,73434,74395,75346,76378,77511,78725,80018,81377,82788,84261,85799,87371,88936,90468,91953,93401,94832,96272,97743,99250,100786
KNA,43174,42952,42746,42538,42298,42015,41674,41296,40955,40745,40731,40941,41349,41899,42511,43121,43714,44302,44888,45479,46083,46695,47307,47923,48543,49173,49811,50455,51102,51752,52402,53061.69612,53061.69612
KOR,37451085,38046253,38665964,39295418,39912900,40501917,41058854,41586382,42081911,42544024,42972254,43364294,43720846,44048595,44356925,44652994,44940974,45220543,45489131,45742103,45977210,46192932,46393993,46591762,46801310,47033082,47291491,47572585,47867970,48164969,48453931,48732640,49002683
KWT,1371494,1439561,1507059,1576266,1650388,1730441,1821560,1919980,2007415,2059222,2059774,1999651,1889536,1758579,1647698,1586123,1585244,1635999,1722208,1818405,1906231,1980604,2048232,2116353,2196466,2296314,2417445,2554920,2702221,2850102,2991580,3124705,3250496
LAO,3250924,3315725,3393250,3481583,3577281,3677692,3782195,3891340,4004881,4122737,4244520,4369940,4497827,4625861,4751142,4871472,4986592,5096724,5200898,5298146,5388281,5470169,5545245,5619069,5699112,5790646,5895930,6013278,6139127,6267968,6395713,6521314,6645827
LBN,2605294,2615753,2632281,2651295,2667229,2676593,2677290,2672182,2668593,2676615,2703019,2752473,2821868,2900862,2974647,3033406,3070984,3092718,3114014,3156706,3235380,3357600,3515604,3690110,3853582,3986865,4079823,4139813,4186088,4246924,4341092,4478105,4647079
LBR,1892529,1961795,2036325,2107523,2163835,2197442,2206867,2196204,2170426,2137018,2102877,2066060,2028672,2006349,2019148,2079921,2197801,2365290,2558085,2741755,2891968,2998770,3070673,3124222,3184643,3269786,3384791,3522294,3672714,3821440,3957990,4079697,4190435
LBY,3078255,3207065,3342302,3479637,3613208,3738814,3854631,3961787,4062672,4161093,4259811,4359515,4459214,4558021,4654483,4747619,4837354,4924347,5009240,5092939,5176185,5258677,5340389,5422612,5507000,5594450,5686475,5782108,5876805,5964325,6040612,6103233,6154623
LCA,117984,119593,121150,122738,124468,126416,128620,131032,133532,135954,138180,140159,141934,143592,145262,147040,148962,150994,153066,155073,156949,158650,160217,161766,163460,165407,167658,170149,172734,175200,177397,179271,180870
LKA,15033175,15270271,15499003,15722930,15947211,16175256,16408039,16643392,16877719,17105900,17323977,17532866,17733304,17921207,18091477,18241711,18367795,18473862,18575763,18695041,18846401,19037119,19260853,19501969,19737578,19951291,20137560,20301912,20452387,20601663,20758779,20925532,21098099
LSO,1307403,1340694,1374044,1406818,1438248,1467856,1495101,1520244,1544580,1569936,1597534,1627900,1660360,1693459,1725118,1753824,1779197,1801679,1821609,1839611,1856225,1871500,1885487,1898757,1912022,1925844,1940413,1955784,1972199,1989873,2008921,2029516,2051545
LTU,3431933,3457365,3482390,3507839,3534804,3563741,3595394,3628637,3659778,3683852,3697393,3698824,3689365,3671803,3650348,3628079,3606012,3583272,3558827,3530932,3498446,3461616,3421430,3378410,3333259,3286782,3238819,3190088,3143310,3101973,3068457,3043980,3027621
LUX,364049,364784,365103,365306,365800,366888,368665,371082,374120,377711,381790,386358,391403,396811,402435,408152,414004,419979,425834,431268,436111,440137,443524,446996,451548,457847,466209,476294,487310,498116,507885,516348,523744
LVA,2513397,2524843,2536340,2548941,2564006,2582079,2604484,2629831,2652684,2665711,2663985,2645056,2611306,2568603,2525444,2487988,2458305,2434628,2414650,2394521,2371481,2345309,2317261,2287780,2257647,2227559,2197359,2167157,2138258,2112337,2090519,2073385,2060428
MAR,19798703,20274839,20767511,21270638,21776104,22277541,22772287,23260094,23739980,24211718,24674974,25128064,25569662,26000345,26421309,26833093,27237150,27632321,28013585,28374203,28710123,29021156,29311443,29586937,29855820,30125445,30395097,30667086,30955151,31276564,31642360,32059424,32521143
