"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"CMR",NA,495062.380642944,725814.955810319,453593.198078581,567698.952183766,376406.935234704,211167.93045128,272332.942888081,285210.638369121,249861.60985513,182569.414211928,324336.576600905,163987.858573404,69255.7816946954,52932.4976780871,137410.131027486,107970.358787335,131617.752925772,137045.369978288,174296.104517282,280715.944861957,8603.27605952498,5716.67687747768,13567.3782466504,19368.9558712413,18552.2120088831,10273.1396905789,7353.90308554528,12933.5452769471,5592.76552780017,13278.5194297088,17077.7383946025
"COD",175123.439268997,521616.299441981,880827.386273222,957694.056957496,1173407.17244396,1314243.7231865,1281676.26069689,1221171.24818536,1154972.5003819,994273.289858652,1033928.81728612,872499.810293623,823912.554848635,960596.569472206,959970.697220034,1064084.69213106,1069938.40505917,1272219.5265446,1361696.59927645,1244073.35133742,1206534.01142206,1610677.50125965,1110479.48727913,1701897.69237067,1205323.89371764,526633.004936515,349540.108722973,223492.189018026,186156.888417581,185042.264501268,1205207.24652228,572243.122066693
"COG",51445.2069493324,133484.072921612,172174.700218101,193264.96629374,90680.4764225192,69614.853734739,32023.2597281888,18153.7525191886,13573.8583297533,27966.7194227887,38716.845382861,44010.1525572124,24151.1780854129,16892.2717105867,25205.4754292419,38156.8741173624,28682.735619444,20730.1729564707,18459.7502457536,23254.5225960136,27945.1660026392,33542.7607061067,40326.2081470657,40421.4882397128,3081.07451191409,5746.9600016398,7453.06525329353,1078.3615633866,2901.21704507886,3893.27566806057,1684.26974513841,2662.23613103379
"COK",77.2790322610628,142.16945348343,135.955548528498,132.13954961932,124.613036463593,120.985624839274,112.23367943959,102.636511298921,691,432.691117544253,340.530841260997,277.442685217044,227.94407645433,201.207557359411,172.60914003295,158.642331576442,194,128.810772263667,0.824514919865624,2,2.41554332935967,2.84647192934069,17,3.06274991027434,3.151060245694,6,1,0.155512156825855,0.477208424437826,0.517264092284769,0.605739117811958,0.664093457353371
"COL",98060,46365,65495,59245,27860,25900,103100,74005,62990,62600,51955,39880,45525,2625,2050,800,335,305,220,5,15,695,0,0,0,0,0,0,0,0,30,5
"COM",0,0,0,0,0,0,0,0,850,11640,0,0,0,10,0,0,0,0,0,NA,NA,0,0,0,4560,425,0,0,5,0,15,5
"CPV",4270.78315461234,26882.9171949487,29429.060987499,2652.05891657305,5604.52278683623,7663.63918322937,9453.30923839095,1350.27760692794,836.64576594178,794.998593153401,907.583195881934,769.968202262179,629.552422615468,968.047039735487,832.957112979991,696.678854543588,22782.0062597208,6000.15760053346,1237.26007336455,766.269712781084,593.803377855906,520.636834744122,476.498617431353,442.70526316039,413.776013431004,153.512420990886,244.462409177955,282.871301222247,290.115686918205,134.861925266291,95.096911436832,75.7363478034196
"CRI",850,835,195,55,5,22670,20020,1790,165,380,31480,11805,1365,0,175,120,130,135,115,0,0,0,5,0,5,NA,0,0,0,0,0,0
"CUB",91935,117040,16435,16575,14370,16560,4290,605,60,60,85,60,10,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CYP",15,135,915,15,5,5,0,0,0,20,5,100,0,0,0,275,5,5,0,0,NA,0,0,0,5,0,0,5,0,90,0,5
"CZE",NA,NA,NA,NA,NA,NA,NA,NA,NA,12100,4195,2080,70,45,25,50,70,95,10,45,30,20,150,85,0,35,10,10,25,0,85,110
"DEU",26450,10145,48990,58795,2840,995,945,85,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30120,23285,3895,605,3890,11535,2835,4585,2870,3900,8035,830
"DJI",NA,2612.93446267314,7594.7577650973,81761.9101908512,8700.6959300803,12765.1840820674,7096.21812882825,24074.4348159061,25797.0293179193,8602.92870774976,5213.36286809871,8660.82876658339,6445.60039252997,10990.8099741633,5760.52233635733,20749.9968769347,18129.8909215975,13904.2810714818,19255.3281657076,12543.2695525375,8125.51113354486,6011.58700388663,1439.33227553783,888.022338220184,12426.4343048817,2264.19278693733,3061.16445261581,7012.32036137773,1607.8590993007,2063.11810960147,3299.39349718371,28744.711704791
"DMA",135,10,5,940,320,225,410,50,45,65,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DNK",178255,78280,166210,105940,65935,117450,31340,3090,2025,900,810,645,575,180,100,595,305,NA,NA,70,55,160,0,0,10,135,10,70,30,25,420,10
"DOM",17050,18355,14800,22145,22085,2505,2495,3460,7525,17385,37560,38250,23185,15,0,0,5,70,1370,1270,565,0,0,0,0,0,0,0,0,0,10,0
"DZA",506488.028687846,974717.407788662,992725.998166074,1008228.86764587,778669.921867136,488846.865132607,364393.816369745,298063.805003734,278341.818734259,243440.640012783,257541.628018154,290133.995386817,252633.674132241,253459.710462894,271380.730056108,406570.970584432,160548.25692512,143966.94031255,128002.761499331,119951.748911038,115906.150280812,124923.594912765,220102.8422439,3289,2630.5692304514,3357.07530987154,4100.29366180617,5092.49634365372,7330.08480407949,9580.50259988896,12015.7841573478,13671.2733578443
"ECU",23390,8235,12780,34895,5915,4195,7685,40020,18245,8230,7925,21780,18135,18340,4595,210,0,0,0,0,10,0,0,0,0,0,0,5,0,0,1315,360
