"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"HRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,2380,2340,3200,1740,2760,13940,2380,4800,12960,620,180,160,120,380,1080,40,20,0,1020,40,140,240,40
"HTI",50040,21280,17380,33620,42220,5380,62600,4700,11600,28280,NA,NA,NA,NA,NA,20,0,60,0,19840,3180,0,0,0,0,0,0,0,0,0,0,0
"HUN",211460,50420,2480,1960,400,340,600,22060,NA,580,320,280,660,220,80,240,480,460,20,20,400,0,0,0,40,20,0,0,20,0,100,40
"IDN",NA,NA,NA,NA,NA,NA,NA,NA,NA,771899.999804013,929759.592608609,2671675.10494532,2040663.00936462,3211174.036571,2204686.85124891,2086898.32980338,1791556.03244007,1745242.54912071,2438023.90634393,1651766.65296518,1434003.35913284,1957071.88014276,2120521.77187912,1284792.34097237,1729117.45711589,1824189.79067262,1359409.11558078,717713.220782049,1452833.58669141,1080522.03275465,1451762.35790573,1046390.48538464
"IND",31616902.5552264,23277467.0896095,20956556.9788576,29854558.1711011,25475092.759748,24530455.6077562,40051939.1517953,25425184.5358574,26167969.8034117,14894910.051684,13337116.7087666,12358581.0020884,9450509.81015876,9145956.57625257,7410396.4627249,8583423.1928391,10655454.4859829,7507504.41397215,5760562.30895077,7538643.93759367,9367375.9537155,8136793.81514446,8755224.24410086,9252516.96188682,7668408.78682462,10862227.9089997,8104471.22284559,8175269.4010278,9743108.25902561,6599515.02053461,5982934.72015998,4287714.04483961
"IRL",21500,37940,123600,114500,198060,9020,4020,18720,24960,11120,2700,3580,86560,24660,4700,4560,3700,4080,2940,NA,4820,4860,11680,6680,1900,1740,1280,1140,3280,8860,5700,2140
"IRN",843068.123835444,1154418.83835731,1015013.68581259,782088.121903944,501338.664119882,384035.962362695,470056.701572489,296515.17743593,177426.963372272,154808.847274951,169352.2604115,146752.885761309,137531.054729116,57030.9625729359,42091.8578078188,102394.7071876,128725.777357985,98529.9096839194,130658.262215181,372061.428525493,249440.002870665,249979.505571338,303437.142051377,39396.0195100457,58089.255674465,70861.9932422123,55596.8412794483,50767.3044888559,54072.4450657092,59682.5514877589,39404.2903536947,48802.7204155368
"IRQ",914355.588576998,469733.126747581,552749.996643018,555024.272988928,341181.477397964,190433.258833549,154368.303875298,170604.293654271,201848.345518056,94676.2702723448,201618.402219326,322064.137851921,262712.404481713,187913.708198494,147353.330407458,49799.1753695321,55499.4723099517,100994.179284868,179630.046387081,90246.4604022665,101095.87096625,234771.267346231,150527.594798993,167936.622945745,57626.2745600418,52760.6806493784,49879.4525331234,131599.828813948,60224.8390188216,49836.1880698469,47204.5427918428,47230.4583272872
"ISL",480,280,780,3240,7480,2640,280,220,460,280,200,160,160,140,40,20,20,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0
"ISR",4560,157280,2580,2740,60100,39020,8760,3880,580,4600,19820,1320,2820,31100,440,380,240,160,280,720,380,40,2480,2320,40,180,10780,18620,100,460,1400,4220
