,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
CIV,69598,70096.2,70594.4,71092.6,71590.8,72089,72936.2,73783.4,74630.6,75477.8,76325,77500,78675,79850,81025,82200,82723.8,83247.6,83771.4,84295.2,84819,84213.8,83608.6,83003.4,82398.2,81793,81498,81203,80908,80613,80318,79963.2,79608.4
CMR,69709,70752.8,71796.6,72840.4,73884.2,74928,75868.4,76808.8,77749.2,78689.6,79630,80530.4,81430.8,82331.2,83231.6,84132,85584.2,87036.4,88488.6,89940.8,91393,92791.2,94189.4,95587.6,96985.8,98384,98338,98292,98246,98200,98154,97021.4,95888.8
COD,262501,268979.8,275458.6,281937.4,288416.2,294895,305227.2,315559.4,325891.6,336223.8,346556,361844,377132,392420,407708,422996,432814.2,442632.4,452450.6,462268.8,472087,476041,479995,483949,487903,491857,495997.8,500138.6,504279.4,508420.2,512561,513861.8,515162.6
COG,9809,9877.6,9946.2,10014.8,10083.4,10152,10319.2,10486.4,10653.6,10820.8,10988,11370.6,11753.2,12135.8,12518.4,12901,13385.8,13870.6,14355.4,14840.2,15325,15618.6,15912.2,16205.8,16499.4,16793,16787.4,16781.8,16776.2,16770.6,16765,16589.2,16413.4
COK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,59709,57269.6,54830.2,52390.8,49951.4,47512,45865.2,44218.4,42571.6,40924.8,39278,37980.8,36683.6,35386.4,34089.2,32792,31897,31002,30107,29212,28317,27723.8,27130.6,26537.4,25944.2,25351,24789.2,24227.4,23665.6,23103.8,22542,21821.8,21101.6
COM,2327,2316.8,2306.6,2296.4,2286.2,2276,2233.4,2190.8,2148.2,2105.6,2063,2075.6,2088.2,2100.8,2113.4,2126,2169.2,2212.4,2255.6,2298.8,2342,2366.6,2391.2,2415.8,2440.4,2465,2459,2453,2447,2441,2435,2416,2397
CPV,1249,1199.2,1149.4,1099.6,1049.8,1000,963.6,927.2,890.8,854.4,818,787.4,756.8,726.2,695.6,665,631.6,598.2,564.8,531.4,498,465.6,433.2,400.8,368.4,336,316,296,276,256,236,224.6,213.2
CRI,2246,2153.2,2060.4,1967.6,1874.8,1782,1735.8,1689.6,1643.4,1597.2,1551,1489.4,1427.8,1366.2,1304.6,1243,1201.4,1159.8,1118.2,1076.6,1035,1007.8,980.6,953.4,926.2,899,876.6,854.2,831.8,809.4,787,765.2,743.4
CUB,3872,3768.2,3664.4,3560.6,3456.8,3353,3229,3105,2981,2857,2733,2571.4,2409.8,2248.2,2086.6,1925,1804.2,1683.4,1562.6,1441.8,1321,1240.2,1159.4,1078.6,997.8,917,869.6,822.2,774.8,727.4,680,653.2,626.4
CYP,277,267.8,258.6,249.4,240.2,231,221.4,211.8,202.2,192.6,183,173.6,164.2,154.8,145.4,136,127.8,119.6,111.4,103.2,95,90.6,86.2,81.8,77.4,73,70.8,68.6,66.4,64.2,62,60.6,59.2
CZE,2992,2806.6,2621.2,2435.8,2250.4,2065,1964.4,1863.8,1763.2,1662.6,1562,1438.6,1315.2,1191.8,1068.4,945,862.4,779.8,697.2,614.6,532,516.4,500.8,485.2,469.6,454,446.6,439.2,431.8,424.4,417,409.2,401.4
DEU,13077,12481.6,11886.2,11290.8,10695.4,10100,9570.6,9041.2,8511.8,7982.4,7453,7052.2,6651.4,6250.6,5849.8,5449,5210.2,4971.4,4732.6,4493.8,4255,4089.6,3924.2,3758.8,3593.4,3428,3315.6,3203.2,3090.8,2978.4,2866,2787.2,2708.4
DJI,2066,2139.6,2213.2,2286.8,2360.4,2434,2523.4,2612.8,2702.2,2791.6,2881,2856.2,2831.4,2806.6,2781.8,2757,2681.4,2605.8,2530.2,2454.6,2379,2361.4,2343.8,2326.2,2308.6,2291,2262,2233,2204,2175,2146,2096.2,2046.4
DMA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DNK,595,581.4,567.8,554.2,540.6,527,532,537,542,547,552,535.4,518.8,502.2,485.6,469,451.8,434.6,417.4,400.2,383,371.8,360.6,349.4,338.2,327,315.8,304.6,293.4,282.2,271,265.2,259.4
DOM,19037,18541.4,18045.8,17550.2,17054.6,16559,15980.6,15402.2,14823.8,14245.4,13667,13125,12583,12041,11499,10957,10604.8,10252.6,9900.4,9548.2,9196,8928.6,8661.2,8393.8,8126.4,7859,7632.6,7406.2,7179.8,6953.4,6727,6520,6313
DZA,112304,105470.6,98637.2,91803.8,84970.4,78137,73647.8,69158.6,64669.4,60180.2,55691,52549.2,49407.4,46265.6,43123.8,39982,37747.2,35512.4,33277.6,31042.8,28808,28699.6,28591.2,28482.8,28374.4,28266,28782.2,29298.4,29814.6,30330.8,30847,30795.8,30744.6
ECU,28897,28008.2,27119.4,26230.6,25341.8,24453,23537.2,22621.4,21705.6,20789.8,19874,18932.4,17990.8,17049.2,16107.6,15166,14398.2,13630.4,12862.6,12094.8,11327,10874.8,10422.6,9970.4,9518.2,9066,8784.6,8503.2,8221.8,7940.4,7659,7385.6,7112.2
EGY,286485,274472.8,262460.6,250448.4,238436.2,226424,212921.4,199418.8,185916.2,172413.6,158911,148155.8,137400.6,126645.4,115890.2,105135,98370.2,91605.4,84840.6,78075.8,71311,69029.8,66748.6,64467.4,62186.2,59905,58117.6,56330.2,54542.8,52755.4,50968,49297,47626
ERI,20365,20607,20849,21091,21333,21575,21343.4,21111.8,20880.2,20648.6,20417,19683.8,18950.6,18217.4,17484.2,16751,16358,15965,15572,15179,14786,14832.4,14878.8,14925.2,14971.6,15018,14838.2,14658.4,14478.6,14298.8,14119,13674.4,13229.8
ESP,9255,8470.2,7685.4,6900.6,6115.8,5331,5005.8,4680.6,4355.4,4030.2,3705,3517.2,3329.4,3141.6,2953.8,2766,2669.6,2573.2,2476.8,2380.4,2284,2285.4,2286.8,2288.2,2289.6,2291,2273.6,2256.2,2238.8,2221.4,2204,2145.6,2087.2
EST,575,573.8,572.6,571.4,570.2,569,542.6,516.2,489.8,463.4,437,399,361,323,285,247,228,209,190,171,152,143.2,134.4,125.6,116.8,108,103,98,93,88,83,80.8,78.6
ETH,409342,417521,425700,433879,442058,450237,452687.2,455137.4,457587.6,460037.8,462488,461295.2,460102.4,458909.6,457716.8,456524,445639.8,434755.6,423871.4,412987.2,402103,385013.2,367923.4,350833.6,333743.8,316654,303367.4,290080.8,276794.2,263507.6,250221,242650.2,235079.4
FIN,604,578.4,552.8,527.2,501.6,476,465.6,455.2,444.8,434.4,424,406.8,389.6,372.4,355.2,338,320.6,303.2,285.8,268.4,251,244.2,237.4,230.6,223.8,217,212,207,202,197,192,187.4,182.8
FJI,1238,1195.4,1152.8,1110.2,1067.6,1025,983,941,899,857,815,783.8,752.6,721.4,690.2,659,632.2,605.4,578.6,551.8,525,509.2,493.4,477.6,461.8,446,435.2,424.4,413.6,402.8,392,380,368
FRA,9813,9522.8,9232.6,8942.4,8652.2,8362,8043.2,7724.4,7405.6,7086.8,6768,6448.2,6128.4,5808.6,5488.8,5169,4971.8,4774.6,4577.4,4380.2,4183,4105.2,4027.4,3949.6,3871.8,3794,3694.4,3594.8,3495.2,3395.6,3296,3214.8,3133.6
FSM,179,181,183,185,187,189,187.8,186.6,185.4,184.2,183,181.8,180.6,179.4,178.2,177,173.2,169.4,165.6,161.8,158,151.4,144.8,138.2,131.6,125,120.6,116.2,111.8,107.4,103,100.8,98.6
GAB,3814,3741.6,3669.2,3596.8,3524.4,3452,3416.8,3381.6,3346.4,3311.2,3276,3296.6,3317.2,3337.8,3358.4,3379,3429.2,3479.4,3529.6,3579.8,3630,3657.2,3684.4,3711.6,3738.8,3766,3735.4,3704.8,3674.2,3643.6,3613,3565.2,3517.4
GBR,10058,9827.4,9596.8,9366.2,9135.6,8905,8603.2,8301.4,7999.6,7697.8,7396,7051.4,6706.8,6362.2,6017.6,5673,5458.6,5244.2,5029.8,4815.4,4601,4543.4,4485.8,4428.2,4370.6,4313,4272.2,4231.4,4190.6,4149.8,4109,3997.2,3885.4
GEO,4822,4793,4764,4735,4706,4677,4607.6,4538.2,4468.8,4399.4,4330,4098.2,3866.4,3634.6,3402.8,3171,2944,2717,2490,2263,2036,1957.4,1878.8,1800.2,1721.6,1643,1599.6,1556.2,1512.8,1469.4,1426,1378.2,1330.4
GHA,74418,74363.2,74308.4,74253.6,74198.8,74144,73441,72738,72035,71332,70629,69757.4,68885.8,68014.2,67142.6,66271,65976,65681,65386,65091,64796,64706.2,64616.4,64526.6,64436.8,64347,64070.6,63794.2,63517.8,63241.4,62965,62614.2,62263.4
GIN,59607,59867.6,60128.2,60388.8,60649.4,60910,61839.8,62769.6,63699.4,64629.2,65559,66127,66695,67263,67831,68399,67567.2,66735.4,65903.6,65071.8,64240,63041.6,61843.2,60644.8,59446.4,58248,57678.8,57109.6,56540.4,55971.2,55402,55174.2,54946.4
GMB,6717,6738,6759,6780,6801,6822,6882.8,6943.6,7004.4,7065.2,7126,7155.4,7184.8,7214.2,7243.6,7273,7282.2,7291.4,7300.6,7309.8,7319,7335,7351,7367,7383,7399,7453.8,7508.6,7563.4,7618.2,7673,7752.8,7832.6
GNB,8870,8980.4,9090.8,9201.2,9311.6,9422,9468.8,9515.6,9562.4,9609.2,9656,9696.8,9737.6,9778.4,9819.2,9860,9860.4,9860.8,9861.2,9861.6,9862,9877.2,9892.4,9907.6,9922.8,9938,9940.2,9942.4,9944.6,9946.8,9949,9925.6,9902.2
GNQ,2128,2321.8,2515.6,2709.4,2903.2,3097,3206.6,3316.2,3425.8,3535.4,3645,3661.4,3677.8,3694.2,3710.6,3727,3756.6,3786.2,3815.8,3845.4,3875,3904.2,3933.4,3962.6,3991.8,4021,4005,3989,3973,3957,3941,3888,3835
GRC,2852,2637,2422,2207,1992,1777,1656.8,1536.6,1416.4,1296.2,1176,1121,1066,1011,956,901,861.4,821.8,782.2,742.6,703,676.8,650.6,624.4,598.2,572,559.6,547.2,534.8,522.4,510,491.8,473.6
GRD,121,117.8,114.6,111.4,108.2,105,98.8,92.6,86.4,80.2,74,68.6,63.2,57.8,52.4,47,44.6,42.2,39.8,37.4,35,33.8,32.6,31.4,30.2,29,28.6,28.2,27.8,27.4,27,26.4,25.8
GTM,38871,38007.4,37143.8,36280.2,35416.6,34553,33584.6,32616.2,31647.8,30679.4,29711,28846,27981,27116,26251,25386,24732.2,24078.4,23424.6,22770.8,22117,21563.8,21010.6,20457.4,19904.2,19351,18756.4,18161.8,17567.2,16972.6,16378,15863,15348
GUY,1745,1641.6,1538.2,1434.8,1331.4,1228,1189.2,1150.4,1111.6,1072.8,1034,1005.4,976.8,948.2,919.6,891,866.4,841.8,817.2,792.6,768,754.4,740.8,727.2,713.6,700,682.4,664.8,647.2,629.6,612,593.8,575.6
HND,18381,17740.2,17099.4,16458.6,15817.8,15177,14667,14157,13647,13137,12627,12265.8,11904.6,11543.4,11182.2,10821,10519,10217,9915,9613,9311,9133,8955,8777,8599,8421,8223.4,8025.8,7828.2,7630.6,7433,7220.2,7007.4
HRV,1549,1479,1409,1339,1269,1199,1115.4,1031.8,948.2,864.6,781,723.4,665.8,608.2,550.6,493,464,435,406,377,348,336.6,325.2,313.8,302.4,291,286.2,281.4,276.6,271.8,267,261.2,255.4
HTI,43026,42817.6,42609.2,42400.8,42192.4,41984,40807.6,39631.2,38454.8,37278.4,36102,35127.6,34153.2,33178.8,32204.4,31230,30320.2,29410.4,28500.6,27590.8,26681,25940.4,25199.8,24459.2,23718.6,22978,22292.6,21607.2,20921.8,20236.4,19551,18984,18417
HUN,3882,3642.6,3403.2,3163.8,2924.4,2685,2579,2473,2367,2261,2155,2015.2,1875.4,1735.6,1595.8,1456,1356.8,1257.6,1158.4,1059.2,960,914.8,869.6,824.4,779.2,734,708.6,683.2,657.8,632.4,607,595.6,584.2
IDN,513802,494157.6,474513.2,454868.8,435224.4,415580,398004.8,380429.6,362854.4,345279.2,327704,313940.2,300176.4,286412.6,272648.8,258885,250108.2,241331.4,232554.6,223777.8,215001,209691.8,204382.6,199073.4,193764.2,188455,182601.2,176747.4,170893.6,165039.8,159186,153880.8,148575.6
IND,3621276,3570357.4,3519438.8,3468520.2,3417601.6,3366683,3304298,3241913,3179528,3117143,3054758,2976317.4,2897876.8,2819436.2,2740995.6,2662555,2583788.2,2505021.4,2426254.6,2347487.8,2268721,2186581.2,2104441.4,2022301.6,1940161.8,1858022,1795109.8,1732197.6,1669285.4,1606373.2,1543461,1500174.4,1456887.8
IRL,1049,976.2,903.4,830.6,757.8,685,640.8,596.6,552.4,508.2,464,449.6,435.2,420.8,406.4,392,392.6,393.2,393.8,394.4,395,387.8,380.6,373.4,366.2,359,344.6,330.2,315.8,301.4,287,276.4,265.8
IRN,183702,178659.8,173617.6,168575.4,163533.2,158491,150225.6,141960.2,133694.8,125429.4,117164,108903.4,100642.8,92382.2,84121.6,75861,71037.8,66214.6,61391.4,56568.2,51745,49712.6,47680.2,45647.8,43615.4,41583,40403.6,39224.2,38044.8,36865.4,35686,34362.8,33039.6
IRQ,38145,37021,35897,34773,33649,32525,32475.8,32426.6,32377.4,32328.2,32279,32779.6,33280.2,33780.8,34281.4,34782,35166.8,35551.6,35936.4,36321.2,36706,36762.4,36818.8,36875.2,36931.6,36988,36630,36272,35914,35556,35198,34683.6,34169.2
ISL,42,39.8,37.6,35.4,33.2,31,30.4,29.8,29.2,28.6,28,27.2,26.4,25.6,24.8,24,22.8,21.6,20.4,19.2,18,17.2,16.4,15.6,14.8,14,13.8,13.6,13.4,13.2,13,12.8,12.6
ISR,1687,1623.8,1560.6,1497.4,1434.2,1371,1326.8,1282.6,1238.4,1194.2,1150,1123,1096,1069,1042,1015,992.2,969.4,946.6,923.8,901,877.8,854.6,831.4,808.2,785,766.8,748.6,730.4,712.2,694,680.6,667.2
ITA,11711,10855,9999,9143,8287,7431,7046.4,6661.8,6277.2,5892.6,5508,5241.2,4974.4,4707.6,4440.8,4174,3948.2,3722.4,3496.6,3270.8,3045,2930.8,2816.6,2702.4,2588.2,2474,2394.6,2315.2,2235.8,2156.4,2077,1996.6,1916.2
