iso,year,target,reached,reached_pct,intervention,region,country,campaigntype,extent,agemin,agemax,reachedtot,targettot,reachedpct_recalc,pop_u15,agespan,popdenom_forcoverage,coverage
SLE,2009,824364,829842,99,Meas,AFRO,Sierra Leone,FollowUp,National,0.75,4.92,829842,824364,100,2471840,4.17,687171.6,99
SOM,2009,2981429,2022608,67,Meas,EMRO,Somalia,FollowUp,National,0.75,4.92,2022608,2981429,67,4099738,4.17,1139727,67
SWZ,2009,91124,87592,96,Meas,AFRO,Swaziland,FollowUp,National,0.75,3.92,87592,91124,96,466174,3.17,98518.11,88.9
TCD,2009,1967649,1750148,88,Meas,AFRO,Chad,FollowUp,Subnational,0.75,4.92,1750148,1967649,88,5122010,4.17,1423919,88
TJK,2009,2334301,2298700,98.4,MR,EURO,Tajikistan,CatchUp,National,1,14,2298700,2334301,98,2566850,13,2224603,98.4
TLS,2009,167136,126823,76,Meas,SEARO,Timor-Leste,FollowUp,National,0.75,4.92,126823,167136,75,509730,4.17,141704.9,89.5
UGA,2009,4699748,4893634,99,Meas,AFRO,Uganda,FollowUp,National,0.75,3.92,4893634,4699748,104,15983083,3.17,3377758,99
VEN,2009,3485557,1538769,44,MMR,AMRO,Venezuela,FollowUp,National,1,10,1538769,3485557,44,8520650,9,5112390,30.1
VUT,2009,30689,29919,97.5,Meas,WPRO,Vanuatu,FollowUp,National,1,4.92,29919,30689,97,92535,3.92,24182.48,97.5
WSM,2009,27748,21142,76,MR,WPRO,Samoa,,National,0.5,4.92,21142,27748,76,70489,4.42,20770.76,76
ZAF,2009,229514,8491,37,Meas,AFRO,South Africa,FollowUp,Subnational,0.75,6,8491,229514,3,15290439,5.25,5351654,0.2
ZWE,2009,1523344,1408589,92,Meas,AFRO,Zimbabwe,FollowUp,National,0.75,4.92,1408589,1523344,92,4995760,4.17,1388821,92
BDI,2010,859683,831733,96,Meas,AFRO,Burundi,FollowUp,Subnational,0.5,14,831733,859683,96,3229385,13.5,2906447,28.6
BGD,2010,36272132,36171368,99,Meas,SEARO,Bangladesh,FollowUp,National,0.75,4.92,3.62E+07,3.63E+07,99,50758777,4.17,1.41E+07,99
BLZ,2010,500,474,95,MMR,AMRO,Belize,FollowUp,National,1,2,474,500,94,108055,1,7203.667,6.6
COD,2010,1226792,1259363,99,Meas,AFRO,DRCongo,FollowUp,Rollover,0.5,4.92,1259363,1226792,102,31459547,4.42,9270080,13.6
COG,2010,700649,575940,82,Meas,AFRO,Congo,FollowUp,National,0.75,4.92,575940,700649,82,1510786,4.17,419998.5,82
COL,2010,6854805,6406221,94,MR,AMRO,Colombia,FollowUp,National,1,8,6406221,6854805,93,13319604,7,6215815,94
COM,2010,74572,62727,84,Meas,AFRO,Comoros,FollowUp,,0.5,4,62727,74572,84,263265,3.5,61428.5,84
CYP,2010,16850,389,2,MMR,EURO,Cyprus,,National,5,7,389,16850,2,153497,2,20466.27,1.9
DOM,2010,1576458,1530854,97,MMR,AMRO,Dominican Republic,FollowUp,,1,8,1530854,1576458,97,3179435,7,1483736,97
ETH,2010,8713694,9133332,99,Meas,AFRO,Ethiopia,FollowUp,Subnational,0.5,4.92,9133332,8713694,104,36682132,4.42,1.08E+07,84.5
FSM,2010,12762,11485,89,Meas,WPRO,Micronesia,,Subnational,1,7,11485,12762,89,40616,6,16246.4,70.7
GHA,2010,4317817,4002842,93,Meas,AFRO,Ghana,FollowUp,National,0.75,4.92,4002842,4317817,92,9278234,4.17,2579349,93
IRQ,2010,2794889,2603752,93,MMR,EMRO,Iraq,FollowUp,National,0.75,4.92,2603752,2794889,93,12803201,4.17,3559290,73.2
LSO,2010,615109,558335,91,Meas,AFRO,Lesotho,CatchUp,National,0.5,15,558335,615109,90,802571,14.5,775818.6,72
MDG,2010,2603510,2415792,93,Meas,AFRO,Madagascar,FollowUp,National,0.75,3.92,2415792,2603510,92,8562573,3.17,1809557,93
MWI,2010,6370409,6785428,99,Meas,AFRO,Malawi,CatchUp,National,0.75,15,6785428,6370409,106,7202911,14.25,6842766,99
NER,2010,2610150,2656616,99,Meas,AFRO,Niger,FollowUp,,0.75,3.92,2656616,2610150,101,7965830,3.17,1683446,99
PAK,2010,7359790,6991065,95,Meas,EMRO,Pakistan,FollowUp,Subnational,0.5,4.92,6991065,7359790,94,67627328,4.42,1.99E+07,35.1
SEN,2010,312162,253663,81,Meas,AFRO,Senegal,FollowUp,National,0.5,4.92,253663,312162,81,5572258,4.42,1641959,15.4
SOM,2010,1478597,1041727,70,Meas,EMRO,Somalia,FollowUp,National,0.75,4.92,1041727,1478597,70,4200677,4.17,1167788,89.2
SWZ,2010,125845,112740,90,Meas,AFRO,Swaziland,FollowUp,National,0.75,4.92,112740,125845,89,466363,4.17,129648.9,87
TGO,2010,880800,854376,97,Meas,AFRO,Togo,FollowUp,National,0.75,3.92,854376,880800,97,2681021,3.17,566589.1,97
VNM,2010,7292713,6982749,95,Meas,WPRO,Viet Nam,FollowUp,National,1,4.92,6982749,7292713,95,22322149,3.92,5833522,95
ZAF,2010,14930510,14592721,98,Meas,AFRO,South Africa,CatchUp,National,0.5,15,1.46E+07,1.49E+07,97,15301683,14.5,1.48E+07,98.7
ZMB,2010,1705425,1961316,99,Meas,AFRO,Zambia,FollowUp,National,0.75,3.92,1961316,1705425,115,6122581,3.17,1293906,99
ZWE,2010,5310480,5164307,97,Meas,AFRO,Zimbabwe,CatchUp,National,0.5,14,5164307,5310480,97,4990368,13.5,4491331,97
AFG,2011,,,,M,EMR,Afghanistan,MopUp,National,0.75,10,1430510,1500943,16.6,13990139,9.25,8627252,16.6
AGO,2011,,,,M,AFR,Angola,FollowUp,National,0.75,4.92,4635248,5472822,84.69576,9646920,4.17,2681844,84.69576
BDI,2011,,,,M,AFR,Burundi,CatchUp,Sub-National,0.5,14,291210,288282,7.7,4212991,13.5,3791692,7.7
BEN,2011,,,,M,AFR,Benin,FollowUp,National,0.75,4.92,1411065,1355328,99,4228195,4.17,1175438,99
BFA,2011,,,,M,AFR,Burkina Faso,FollowUp,unknown,0.75,4.92,2865517,2526721,99,7342950,4.17,2041340,99
BRA,2011,,,,M,AMR,Brazil,FollowUp,National,1,7,1.68E+07,1.71E+07,85.5,49165398,6,1.97E+07,85.5
CAF,2011,,,,M,AFR,Central African Republic,FollowUp,National,0.75,3.92,515452,612030,84.22005,1791243,3.17,378549.4,84.22005
CIV,2011,,,,M,AFR,Cote d'Ivoire,FollowUp,National,0.75,4.92,5820653,6157776,94.52525,8070371,4.17,2243563,94.52525
CMR,2011,,,,M,AFR,Cameroon,FollowUp,Sub-National,0.75,4.92,15867,14626,0.6,9156761,4.17,2545580,0.6
COD,2011,,,,M,AFR,Democratic Republic of the Congo,FollowUp,Sub-National,0.5,5,9912825,1.03E+07,96.60586,29005694,4.5,8701708,96.60586
COG,2011,,,,M,AFR,Congo,FollowUp,Sub-National,0.5,5,173863,186614,32.4,1790613,4.5,537183.9,32.4
COL,2011,,,,MR,AMR,Colombia,CatchUp,Sub-National,10,19,3181768,3937486,39.6,13374740,9,8024844,39.6
CYP,2011,,,,MMR,EUR,Cyprus,MopUp,National,5,7,426,25545,1.6,195493,2,26065.73,1.6
DJI,2011,,,,M,EMR,Djibouti,FollowUp,National,0.75,2,4866,5646,20.3,287241,1.25,23936.75,20.3
DZA,2011,,,,M,AFR,Algeria,CatchUp,Sub-National,0.75,4.92,152842,281809,5.3,10343029,4.17,2875362,5.3
ECU,2011,,,,MMR,AMR,Ecuador,FollowUp,National,7,8,306075,285970,98.4,4666793,1,311119.5,98.4
ETH,2011,,,,M,AFR,Ethiopia,FollowUp,unknown,0.5,14,7791685,8101121,22.1,39223230,13.5,3.53E+07,22.1
FJI,2011,,,,MR,WPR,Fiji,CatchUp,National,1,39,4000,0,1.6,251632,15,251632,1.6
GMB,2011,,,,M,AFR,Gambia,FollowUp,National,0.75,4.92,307613,310720,99,797974,4.17,221836.8,99
GNQ,2011,,,,M,AFR,Equatorial Guinea,FollowUp,National,0.75,3.92,11658,23357,19.6,280865,3.17,59356.14,19.6
IDN,2011,,,,M,SEAR,Indonesia,FollowUp,Sub-National,0.75,4.92,1.14E+07,1.20E+07,56.6,72219886,4.17,2.01E+07,56.6
IND,2011,,,,M,SEAR,India,CatchUp,Rollover-Nat,0.75,10,3.06E+07,3.41E+07,13.7,363547630,9.25,2.24E+08,13.7
KHM,2011,,,,M,WPR,Cambodia,FollowUp,National,0.75,9,1822345,1807731,72.3,4583158,8.25,2520737,72.3
LAO,2011,,,,MR,WPR,Lao People's Democratic Republic,CatchUp,National,0.75,19,2614002,2693957,97.03206,2371678,15,2371678,97.03206
MEX,2011,,,,MMR,AMR,Mexico,MopUp,National,6,7,1850740,1916008,78.7,35263823,1,2350922,78.7
MLI,2011,,,,M,AFR,Mali,FollowUp,National,0.75,4.92,4544425,4909748,92.55923,6783357,4.17,1885773,92.55923
MOZ,2011,,,,M,AFR,Mozambique,FollowUp,National,0.5,5,3985564,3779278,99,11150281,4.5,3345084,99
MRT,2011,,,,M,AFR,Mauritania,FollowUp,Sub-National,0.75,29,924550,951509,61.8,1497118,15,1497118,61.8
NGA,2011,,,,M,AFR,Nigeria,FollowUp,National,0.75,4.92,2.84E+07,2.83E+07,99,72500181,4.17,2.02E+07,99
NIC,2011,,,,MR,AMR,Nicaragua,CatchUp,National,1,39,303261,259261,15.1,2004738,15,2004738,15.1
PAK,2011,,,,M,EMR,Pakistan,FollowUp,Sub-National,0.75,4.92,7986358,8213539,46.6,61699073,4.17,1.72E+07,46.6
PER,2011,,,,MR,AMR,Peru,FollowUp,National,1,4,2033123,2570871,79.08304,8758420,3,1751684,79.08304
PHL,2011,,,,MR,WPR,Philippines,FollowUp,National,0.75,8,1.56E+07,1.88E+07,97.8,33112209,7.25,1.60E+07,97.8
PLW,2011,,,,M,WPR,Palau,FollowUp,National,0.5,2,464973,561942,82.74395,,1.5,,82.74395
ROU,2011,,,,M,EUR,Romania,MopUp,Sub-National,0.58,7,4500,0,0.3,3279591,6.42,1403665,0.3
SAU,2011,,,,MMR,EMR,Saudi Arabia,FollowUp,National,0.75,18,8270316,8495990,97.34376,8352170,15,8352170,97.34376
SDN,2011,,,,M,EMR,"Sudan, aggregate",FollowUp,Sub-National,0.5,15,4701112,4980131,24.8,19643954,14.5,1.90E+07,24.8
SOM,2011,,,,M,EMR,Somalia,CatchUp,Sub-National,0.5,15,2963280,5115368,64.9,4720349,14.5,4563004,64.9
TCD,2011,,,,M,AFR,Chad,FollowUp,Sub-National,0.75,4.92,609763,609763,37.2,5889276,4.17,1637219,37.2
TLS,2011,,,,M,SEAR,Timor-Leste,CatchUp,National,0.5,14,454209,494427,97.8,515811,13.5,464229.9,97.8
TZA,2011,,,,M,AFR,United Republic of Tanzania,FollowUp,National,0.75,4.92,6686663,6899251,96.91868,20809652,4.17,5785084,96.91868
UZB,2011,,,,MR,EUR,Uzbekistan,CatchUp,National,1,14,7502957,7567010,99,8275324,13,7171948,99
YEM,2011,,,,M,EMR,Yemen,CatchUp,Sub-National,0.5,15,146001,177702,1.6,9622431,14.5,9301683,1.6
AFG,2012,,,,M,EMRO,Afghanistan,CatchUp,Sub-National,0.75,10,1.08E+07,1.04E+07,99,14136077,9.25,8717247,99
BDI,2012,,,,M,AFRO,Burundi,FollowUp,National,0.5,5,1459304,1422581,99,4369949,4.5,1310985,99
BFA,2012,,,,M,AFRO,Burkina Faso,FollowUp,Sub-National,0.5,5,68383,92080,3,7530392,4.5,2259118,3
CMR,2012,,,,M,AFRO,Cameroon,FollowUp,National,0.75,4.92,3562478,3502488,99,9359053,4.17,2601817,99
COD,2012,,,,M,AFRO,Democratic Republic of the Congo (the),CatchUp,Sub-National,0.5,14,4389599,4342274,16.4,29712393,13.5,2.67E+07,16.4
CYP,2012,,,,MMR,EURO,Cyprus,MopUp,National,5,7,356,25421,1.4,194543,2,25939.07,1.4
DJI,2012,,,,M,EMRO,Djibouti,FollowUp,Sub-National,0.75,15,119669,126222,43.4,290410,14.25,275889.5,43.4
ECU,2012,,,,MMR,AMRO,Ecuador,CatchUp,National,0.5,14,2646056,3140799,62.7,4691132,13.5,4222019,62.7
ERI,2012,,,,M,AFRO,Eritrea,FollowUp,Sub-National,0.75,3.92,277928,371000,49.8,2642342,3.17,558414.9,49.8
GAB,2012,,,,M,AFRO,Gabon,FollowUp,National,0.5,5,169999,251864,90.1,629088,4.5,188726.4,90.1
GIN,2012,,,,M,AFRO,Guinea,FollowUp,National,0.75,4.92,2275245,2209624,99,4869861,4.17,1353821,99
GNB,2012,,,,M,AFRO,Guinea-Bissau,FollowUp,National,0.75,4.92,220826,247786,89.11964,692547,4.17,192528.1,89.11964
GNQ,2012,,,,M,AFRO,Equatorial Guinea,FollowUp,National,0.75,4.92,49578,85032,62,287668,4.17,79971.7,62
HND,2012,,,,MMR,AMRO,Honduras,FollowUp,National,1,4,696712,847407,82.21693,2835988,3,567197.6,82.21693
HTI,2012,,,,MR,AMRO,Haiti,FollowUp,National,0.75,9,2963911,2522396,99,3597918,8.25,1978855,99
IND,2012,,,,M,SEARO,India,CatchUp,Sub-National,0.75,10,4.69E+07,6.14E+07,20.9,363816529,9.25,2.24E+08,20.9
IRN,2012,,,,M,EMRO,Iran (Islamic Republic of),CatchUp,Sub-National,0.75,12,142730,147339,1.1,18119664,11.25,1.36E+07,1.1
IRQ,2012,,,,M,EMRO,Iraq,FollowUp,National,0.5,5,4733889,5018946,94.32038,13262287,4.5,3978686,94.32038
JOR,2012,,,,M,EMRO,Jordan,FollowUp,Sub-National,0.5,5,163001,182992,22.5,2413410,4.5,724023,22.5
KEN,2012,,,,M,AFRO,Kenya,FollowUp,National,0.75,4.92,5554153,6010988,92.4,18294504,4.17,5085872,92.4
LAO,2012,,,,MR,WPRO,Lao People's Democratic Republic (the),CatchUp,Sub-National,0.75,15,2014,1927,0.1,2379060,14.25,2260107,0.1
MEX,2012,,,,MMR,AMRO,Mexico,MopUp,National,6,7,1436479,1564792,61.4,35067865,1,2337858,61.4
MLI,2012,,,,M,AFRO,Mali,FollowUp,Sub-National,0.5,5,231152,233845,11,7018277,4.5,2105483,11
MMR,2012,,,,M,SEARO,Myanmar,FollowUp,National,0.75,4.92,6267535,6432064,97.44205,13366774,4.17,3715963,97.44205
MNG,2012,,,,MR,WPRO,Mongolia,FollowUp,National,3,14,522414,573378,93.7,760108,11,557412.6,93.7
MRT,2012,,,,M,AFRO,Mauritania,CatchUp,Sub-National,0.5,15,29902,28058,2,1529157,14.5,1478185,2
MYS,2012,,,,MMR,WPRO,Malaysia,MopUp,Sub-National,1,15,2170,3327,0,7752256,14,7235439,0
NAM,2012,,,,M,AFRO,Namibia,CatchUp,National,0.75,15,885259,972163,91.06076,825818,14.25,784527.1,91.06076
NER,2012,,,,M,AFRO,Niger (the),CatchUp,National,0.75,14,7780724,7780633,99,8585945,13.25,7584252,99
NIC,2012,,,,MR,AMRO,Nicaragua,FollowUp,National,1,4,559985,521268,99,2000058,3,400011.6,99
NPL,2012,,,,MR,SEARO,Nepal,CatchUp,Sub-National,0.75,15,8524991,9579305,92,9751233,14.25,9263671,92
PAK,2012,,,,M,EMRO,Pakistan,CatchUp,Sub-National,0.75,10,1954175,1918267,5.1,61730431,9.25,3.81E+07,5.1
PNG,2012,,,,M,WPRO,Papua New Guinea,FollowUp,National,0.5,2.92,552872,631747,87.51478,2753856,2.42,444288.8,87.51478
SDN,2012,,,,M,EMRO,"Sudan, aggregate",FollowUp,National,0.5,5,1708418,1892279,28.4,20025090,4.5,6007527,28.4
SLB,2012,,,,MR,WPRO,Solomon Islands,FollowUp,National,5,12,,,99,222212,7,,99
SLE,2012,,,,M,AFRO,Sierra Leone,FollowUp,National,0.75,4.92,1179605,1155401,99,2499432,4.17,694842.1,99
SLV,2012,,,,MMR,AMRO,El Salvador,FollowUp,National,4,5,112759,118624,87.5,1934007,1,128933.8,87.5
SOM,2012,,,,M,EMRO,Somalia,FollowUp,Sub-National,0.5,15,2315536,2630076,49.5,4838319,14.5,4677042,49.5
STP,2012,,,,M,AFRO,Sao Tome and Principe,FollowUp,National,0.75,4.92,22476,21380,99,78323,4.17,21773.79,99
SYR,2012,,,,MMR,EMRO,Syrian Arab Republic (the),FollowUp,Sub-National,0.5,5,1523842,0,65.6,7737967,4.5,2321390,65.6
TCD,2012,,,,M,AFRO,Chad,FollowUp,National,0.5,5,2270772,2035373,99,6050175,4.5,1815053,99
UGA,2012,,,,M,AFRO,Uganda,FollowUp,National,0.5,5,6283441,6314309,99,17653912,4.5,5296174,99
YEM,2012,,,,M,EMRO,Yemen,CatchUp,National,0.5,10,7984779,8555257,93.33184,9709830,9.5,6149559,93.33184
ZMB,2012,,,,M,AFRO,Zambia,CatchUp,National,0.5,14,7503515,6438699,99,6575495,13.5,5917946,99
ZWE,2012,,,,M,AFRO,Zimbabwe,FollowUp,National,0.5,5,1613437,1566444,97.9,5493209,4.5,1647963,97.9
LBR,2011,,,,M,AFRO,Liberia,FollowUp,National,0.75,4.92,577226,574459,,1764349,4.17,490489,99
