"","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012"
"GEO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,880,287.5,1022.5,1807.5,452.5,760,855,545,360,125,87.5,497.5,540,17117.5,3390,835,110,140,57.5,55,160,77.5
"GHA",96190,199090,91402.5,100447.5,161292.5,27747.5,61952.5,101140,49992.5,80615,42837.5,99832.5,86602.5,87052.5,100690,85682.5,93152.5,58337.5,39967.5,57670,33690,30722.5,4847.5,150,1087.5,1050,15,205,252.5,1602.5,300,4032.5
"GIN",28492.5,37595,22140,10990,7422.5,6480,18392.5,8382.5,10380,31890,16770,4042.5,13070,5930,2712.5,25730,25425,22925,45010,28235,18520,5377.5,6242.5,25,247.5,10,7.5,222.5,660,112.5,27.5,15
"GMB",655,3915,3430,NA,4070,9992.5,NA,NA,NA,NA,410,910,2280,700,325,37.5,3750,NA,2140,840,247.5,80,297.5,0,0,0,0,0,0,5,0,0
"GNB",5240,4032.5,8045,887.5,3320,5602.5,435,2757.5,265,647.5,5990,2105,4267.5,945,1320,182.5,1245,NA,1180,NA,315,745,2895,8815,0,0,2.5,30,0,65,0,0
"GNQ",NA,NA,NA,495,1160,1970,29662.5,37187.5,1455,80,80,742.5,392.5,675,110,2.5,0,NA,NA,NA,3347.5,60,45,95,NA,0,12.5,1090,195,0,0,2975
"GRC",3472.5,8542.5,59307.5,3000,3710,2625,4727.5,12750,1335,612.5,3427.5,8620,1257.5,407.5,280,15205,340,165,172.5,140,30,12.5,NA,2.5,305,NA,5,2.5,5,372.5,100,7.5
"GRD",22.5,4282.5,670,27.5,17.5,50,15,10,5,15,5,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GTM",8680,9980,6905,7680,5680,4125,1000,455,6032.5,22005,522.5,242.5,42.5,510,57.5,2.5,20,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GUY",17.5,102.5,50,735,217.5,37.5,55,2292.5,27.5,2.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HND",14642.5,6115,2920,12570,16190,1507.5,3592.5,2887.5,15882.5,20900,237.5,145,32.5,7.5,0,10,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HRV",NA,NA,NA,NA,NA,NA,NA,NA,NA,297.5,292.5,400,217.5,345,1742.5,297.5,600,1620,77.5,22.5,20,15,47.5,135,5,2.5,0,127.5,5,17.5,30,5
"HTI",6255,2660,2172.5,4202.5,5277.5,672.5,7825,587.5,1450,3535,NA,NA,NA,NA,NA,2.5,0,7.5,0,2480,397.5,0,0,0,0,0,0,0,0,0,0,0
"HUN",26432.5,6302.5,310,245,50,42.5,75,2757.5,NA,72.5,40,35,82.5,27.5,10,30,60,57.5,2.5,2.5,50,0,0,0,5,2.5,0,0,2.5,0,12.5,5
"IDN",NA,NA,NA,NA,NA,NA,NA,NA,83450,28617.5,31792.5,198250,154455,125287.5,85727.5,81960,69702.5,132560,184907.5,122685,108750,76717.5,80277.5,97135,123575,137912.5,52240,26625,52045,41322.5,54732.5,38722.5
"IND",505135,365490,324097.5,477202.5,403040,387690,632350,403447.5,414427.5,224030,194647.5,179495,125977.5,126295,93735,117680,152510,84975,52532.5,97087.5,129450,100110,117867.5,128865,91777.5,160462.5,102860,110645,140470,74520,73347.5,46670
"IRL",2687.5,4742.5,15450,14312.5,24757.5,1127.5,502.5,2340,3120,1390,337.5,447.5,10820,3082.5,587.5,570,462.5,510,367.5,NA,602.5,607.5,1460,835,237.5,217.5,160,142.5,410,1107.5,712.5,267.5
"IRN",89645,119297.5,109057.5,82272.5,51455,37260,48457.5,28897.5,14737.5,13352.5,15085,12570,11540,1265,657.5,5822.5,9752.5,7172.5,10342.5,29685,23955,23885,29110,7.5,17.5,550,332.5,317.5,655,1345,182.5,830
"IRQ",160735,78910,94757.5,95370,55465,25305,19945,23210,29042.5,7612.5,28395,50265,40847.5,26642.5,19125,640,1770,109337.5,24800,1815,10220,NA,NA,22702.5,2270,1185,575,13735,75820,1230,37.5,37.5
"ISL",60,35,97.5,405,935,330,35,27.5,57.5,35,25,20,20,17.5,5,2.5,2.5,NA,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0
"ISR",570,19660,322.5,342.5,7512.5,4877.5,1095,485,72.5,575,2477.5,165,352.5,3887.5,55,47.5,30,20,35,90,47.5,5,310,290,5,22.5,1347.5,2327.5,12.5,57.5,175,527.5
"ITA",178097.5,46057.5,65927.5,192872.5,187600,53265,51567.5,230470,73035,13057.5,58645,162532.5,42225,15395,92827.5,81490,103135,10180,7270,3642.5,NA,23462.5,27455,1497.5,337.5,1097.5,802.5,4042.5,877.5,930,12972.5,0
"JAM",13165,7037.5,2910,590,167.5,75,92.5,75,14315,9127.5,770,0,0,0,37.5,10,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0
"JOR",2935,3985,457.5,6480,1397.5,742.5,4112.5,12025,3492.5,725,357.5,2677.5,7462.5,1290,795,1120,17565,1070,287.5,80,152.5,47.5,190,52.5,70,2.5,102.5,5,0,0,0,7.5
"JPN",53677.5,16790,18202.5,30670,7025,15807.5,14680,7772.5,4382.5,8147.5,13630,NA,5005,NA,NA,4100,NA,2247.5,NA,56242.5,56380,84530,20715,21880,NA,1300,NA,27537.5,1852.5,1125,1085,570
"KAZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,682.5,3562.5,1617.5,8242.5,4470,710,307.5,300,4837.5,3477.5,612.5,235,45,60,5510,40295,272.5,32.5,50,0,10,317.5,137.5
"KEN",644597.5,676917.5,714202.5,500357.5,278730,65497.5,124645,175500,216817.5,192680,149842.5,162510,2402.5,10450,8305,8930,8347.5,23155,21502.5,52505,28260,1915,162.5,50,382.5,4617.5,3790,3205,3045,237.5,5987.5,0
"KGZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,1460,2060,2037.5,9562.5,420,42.5,185,2495,5992.5,1195,40,42.5,5,15,20,132.5,67.5,100,40,2.5,0,555,0
"KHM",101935,144012.5,25920,95822.5,111392.5,43047.5,23202.5,12335,23140,6182.5,5465,6897.5,3155,2365,5095,7035,9565,4982.5,34567.5,30592.5,9402.5,3402.5,1632.5,880,660,470,985,10527.5,11947.5,2890,1805,37.5
"KIR",175,27.5,0,3542.5,5037.5,5,55,660,4030,75,20,10892.5,285,730,10,32.5,62.5,887.5,5,0,0,0,NA,0,0,NA,0,0,0,0,0,0
"KNA",130,345,1390,5,67.5,55,52.5,30,30,200,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"KOR",5767.5,16940,1737.5,5615,3207.5,4545,4700,3947.5,5985,8537.5,NA,NA,NA,19707.5,177.5,177.5,5,10,NA,81617.5,57650,155,82.5,27.5,17.5,70,485,5,42.5,285,105,5
"KWT",6487.5,1465,3975,1520,5152.5,592.5,1070,175,177.5,177.5,412.5,957.5,650,1080,30,37.5,65,225,32.5,15,NA,NA,NA,57.5,25,NA,NA,NA,NA,32.5,80,67.5
"LAO",NA,957.5,2690,2310,3730,3417.5,6450,5607.5,6982.5,5420,3500,1300,2707.5,2460,7935,2292.5,1677.5,11532.5,5755,830,235,5175,4525,3727.5,737.5,145,4195,435,195,382.5,282.5,80
"LBN",7.5,NA,665,NA,NA,NA,NA,NA,NA,NA,NA,32.5,990,127.5,7.5,5,335,2415,20,12.5,20,90,1315,532.5,1545,2390,932.5,60,55,30,22.5,22.5
"LBR",19525,17182.5,12087.5,15377.5,6715,2090,5445,6390,4665,NA,NA,14440,15995,1427.5,140,4845,7402.5,3590,4197.5,14942.5,3447.5,327.5,355,10,20,50,2.5,2.5,15,5500,697.5,107.5
"LBY",3925,2320,2490,6315,10482.5,2127.5,1002.5,790,517.5,2327.5,4237.5,9227.5,1832.5,2817.5,NA,NA,65,125,NA,NA,1582.5,9725,NA,6927.5,730,2.5,147.5,20,822.5,NA,NA,800
